building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Morrison Hall,1,210,2,biotech_main,,,,
Morrison Hall,1,209,2,biotech_main,,,,
Morrison Hall,1,221,2,biotech_main,,,,
Morrison Hall,1,230,2,biotech_main,,,,
Morrison Hall,1,244,2,biotech_main,,,,
Morrison Hall,1,246,2,biotech_main,,,,
Morrison Hall,2,246,2,biotech_main,,,,
Morrison Hall,1,271,2,biotech_main,,,,
Morrison Hall,2,271,2,biotech_main,,,,
Morrison Hall,1,280,2,biotech_main,,,,
Morrison Hall,2,280,2,biotech_main,,,,
Morrison Hall,3,280,2,biotech_main,,,,
Morrison Hall,4,280,2,biotech_main,,,,
Morrison Hall,1,287,2,biotech_main,,,,
Morrison Hall,1,288,2,biotech_main,,,,
Morrison Hall,2,288,2,biotech_main,,,,
Morrison Hall,3,288,2,biotech_main,,,,
Morrison Hall,1,288-04,2,biotech_main,,,,
Morrison Hall,1,289,2,biotech_main,,,,
Morrison Hall,2,289,2,biotech_main,,,,
Morrison Hall,1,293,2,biotech_main,,,,
Morrison Hall,1,295,2,biotech_main,,,,
Morrison Hall,2,295,2,biotech_main,,,,
Morrison Hall,3,295,2,biotech_main,,,,
Morrison Hall,1,301,3,biotech_main,,,,
Morrison Hall,1,303,3,biotech_main,,,,
Morrison Hall,2,303,3,biotech_main,,,,
Morrison Hall,1,304,3,biotech_main,,,,
Morrison Hall,1,305,3,biotech_main,,,,
Morrison Hall,1,306,3,biotech_main,,,,
Morrison Hall,2,306,3,biotech_main,,,,
Morrison Hall,1,314,3,biotech_main,,,,
Morrison Hall,2,314,3,biotech_main,,,,
Morrison Hall,1,421,4,biotech_main,,,,
Morrison Hall,1,431,4,biotech_main,,,,
Morrison Hall,1,433,4,biotech_main,,,,
Morrison Hall,2,433,4,biotech_main,,,,
Morrison Hall,1,437,4,biotech_main,,,,
Morrison Hall,1,443A,4,biotech_main,,,,
Morrison Hall,2,443A,4,biotech_main,,,,
Morrison Hall,3,443A,4,biotech_main,,,,
Morrison Hall,1,443B,4,biotech_main,,,,
Morrison Hall,1,B65,B,biotech_main,,,,
Morrison Hall,1,Lab B61A,L,biotech_main,,,,
Morrison Hall,2,Lab B61A,L,biotech_main,,,,
Morrison Hall,1,Lab B68A,L,biotech_main,,,,
Morrison Hall,2,Lab B68A,L,biotech_main,,,,
Morrison Hall,1,402,4,biotech_main,,,,
Morrison Hall,1,409,4,biotech_main,,,,
