building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
NYS Veterinary Diagnostic Lab,1,A3248,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A3111A,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A2237B,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A2237,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A2337,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,2,A2337,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,3,A2337,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A2111D,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A1133,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A1111-03,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A1111-02,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A1111-01,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,1,A1109,A,biotech_main,,,,
