building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Olin Hall,1,101,1,biotech_main,,,,
Olin Hall,1,102,1,biotech_main,,,,
Olin Hall,1,103,1,biotech_main,,,,
Olin Hall,1,104,1,biotech_main,,,,
Olin Hall,1,105,1,biotech_main,,,,
Olin Hall,1,106,1,biotech_main,,,,
Olin Hall,1,107,1,biotech_main,,,,
Olin Hall,1,108,1,biotech_main,,,,
Olin Hall,1,110,1,biotech_main,,,,
Olin Hall,1,111,1,biotech_main,,,,
Olin Hall,1,202,2,biotech_main,,,,
Olin Hall,1,203,2,biotech_main,,,,
Olin Hall,1,204,2,biotech_main,,,,
Olin Hall,1,205,2,biotech_main,,,,
Olin Hall,1,207,2,biotech_main,,,,
Olin Hall,1,209,2,biotech_main,,,,
Olin Hall,1,210,2,biotech_main,,,,
Olin Hall,1,211,2,biotech_main,,,,
Olin Hall,1,212,2,biotech_main,,,,
Olin Hall,1,230,2,biotech_main,,,,
Olin Hall,1,301,3,biotech_main,,,,
Olin Hall,1,302,3,biotech_main,,,,
Olin Hall,1,303,3,biotech_main,,,,
Olin Hall,1,304,3,biotech_main,,,,
Olin Hall,1,305,3,biotech_main,,,,
Olin Hall,2,305,3,biotech_main,,,,
Olin Hall,1,306,3,biotech_main,,,,
Olin Hall,1,307,3,biotech_main,,,,
Olin Hall,1,308,3,biotech_main,,,,
Olin Hall,1,309,3,biotech_main,,,,
Olin Hall,1,310,3,biotech_main,,,,
Olin Hall,1,311,3,biotech_main,,,,
Olin Hall,1,344,3,biotech_main,,,,
Olin Hall,1,B01,B,biotech_main,,,,
Olin Hall,1,B02,B,biotech_main,,,,
Olin Hall,1,B05,B,biotech_main,,,,
Olin Hall,2,B05,B,biotech_main,,,,
Olin Hall,1,B04-N,B,biotech_main,,,,
Olin Hall,2,B04-N,B,biotech_main,,,,
Olin Hall,1,B06,B,biotech_main,,,,
Olin Hall,2,107,1,biotech_main,,,,
Olin Hall,1,267,2,biotech_main,,,,
Olin Hall,2,267,2,biotech_main,,,,
Olin Hall,3,267,2,biotech_main,,,,
Olin Hall,4,267,2,biotech_main,,,,
Olin Hall,5,267,2,biotech_main,,,,
Olin Hall,6,267,2,biotech_main,,,,
Olin Hall,1,276D,2,biotech_main,,,,
Olin Hall,2,276D,2,biotech_main,,,,
Olin Hall,1,367,3,biotech_main,,,,
Olin Hall,2,367,3,biotech_main,,,,
Olin Hall,3,367,3,biotech_main,,,,
Olin Hall,1,367D,3,biotech_main,,,,
Olin Hall,1,367F,3,biotech_main,,,,
Olin Hall,2,B01,B,biotech_main,,,,
