building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Physical Sciences Building,1,111,1,biotech_main,,,,
Physical Sciences Building,2,111,1,biotech_main,,,,
Physical Sciences Building,3,111,1,biotech_main,,,,
Physical Sciences Building,4,111,1,biotech_main,,,,
Physical Sciences Building,5,111,1,biotech_main,,,,
Physical Sciences Building,6,111,1,biotech_main,,,,
Physical Sciences Building,7,111,1,biotech_main,,,,
Physical Sciences Building,8,111,1,biotech_main,,,,
Physical Sciences Building,9,111,1,biotech_main,,,,
Physical Sciences Building,10,111,1,biotech_main,,,,
Physical Sciences Building,11,111,1,biotech_main,,,,
Physical Sciences Building,1,101,1,biotech_main,,,,
Physical Sciences Building,2,101,1,biotech_main,,,,
Physical Sciences Building,3,101,1,biotech_main,,,,
Physical Sciences Building,4,101,1,biotech_main,,,,
Physical Sciences Building,5,101,1,biotech_main,,,,
Physical Sciences Building,6,101,1,biotech_main,,,,
Physical Sciences Building,7,101,1,biotech_main,,,,
Physical Sciences Building,8,101,1,biotech_main,,,,
Physical Sciences Building,9,101,1,biotech_main,,,,
Physical Sciences Building,10,101,1,biotech_main,,,,
Physical Sciences Building,11,101,1,biotech_main,,,,
Physical Sciences Building,1,105,1,biotech_main,,,,
Physical Sciences Building,2,105,1,biotech_main,,,,
Physical Sciences Building,3,105,1,biotech_main,,,,
Physical Sciences Building,4,105,1,biotech_main,,,,
Physical Sciences Building,5,105,1,biotech_main,,,,
Physical Sciences Building,6,105,1,biotech_main,,,,
Physical Sciences Building,7,105,1,biotech_main,,,,
Physical Sciences Building,8,105,1,biotech_main,,,,
Physical Sciences Building,9,105,1,biotech_main,,,,
Physical Sciences Building,10,105,1,biotech_main,,,,
Physical Sciences Building,11,105,1,biotech_main,,,,
Physical Sciences Building,1,104,1,biotech_main,,,,
Physical Sciences Building,1,104A,1,biotech_main,,,,
Physical Sciences Building,1,104C,1,biotech_main,,,,
Physical Sciences Building,1,122,1,biotech_main,,,,
Physical Sciences Building,1,125,1,biotech_main,,,,
Physical Sciences Building,1,127,1,biotech_main,,,,
Physical Sciences Building,1,115,1,biotech_main,,,,
Physical Sciences Building,2,115,1,biotech_main,,,,
Physical Sciences Building,3,115,1,biotech_main,,,,
Physical Sciences Building,4,115,1,biotech_main,,,,
Physical Sciences Building,5,115,1,biotech_main,,,,
Physical Sciences Building,6,115,1,biotech_main,,,,
Physical Sciences Building,7,115,1,biotech_main,,,,
Physical Sciences Building,8,115,1,biotech_main,,,,
Physical Sciences Building,9,115,1,biotech_main,,,,
Physical Sciences Building,10,115,1,biotech_main,,,,
Physical Sciences Building,11,115,1,biotech_main,,,,
Physical Sciences Building,1,118,1,biotech_main,,,,
Physical Sciences Building,2,118,1,biotech_main,,,,
Physical Sciences Building,3,118,1,biotech_main,,,,
Physical Sciences Building,4,118,1,biotech_main,,,,
Physical Sciences Building,5,118,1,biotech_main,,,,
Physical Sciences Building,6,118,1,biotech_main,,,,
Physical Sciences Building,7,118,1,biotech_main,,,,
Physical Sciences Building,8,118,1,biotech_main,,,,
Physical Sciences Building,9,118,1,biotech_main,,,,
Physical Sciences Building,10,118,1,biotech_main,,,,
Physical Sciences Building,11,118,1,biotech_main,,,,
Physical Sciences Building,1,G02,G,biotech_main,,,,
Physical Sciences Building,1,G10,G,biotech_main,,,,
Physical Sciences Building,1,G14,G,biotech_main,,,,
Physical Sciences Building,1,G35,G,biotech_main,,,,
Physical Sciences Building,1,G41,G,biotech_main,,,,
Physical Sciences Building,1,G48,G,biotech_main,,,,
Physical Sciences Building,1,G54,G,biotech_main,,,,
Physical Sciences Building,1,G61,G,biotech_main,,,,
Physical Sciences Building,1,G65,G,biotech_main,,,,
Physical Sciences Building,1,B21,B,biotech_main,,,,
Physical Sciences Building,1,B29,B,biotech_main,,,,
Physical Sciences Building,1,B34A,B,biotech_main,,,,
Physical Sciences Building,1,B35,B,biotech_main,,,,
Physical Sciences Building,1,B62,B,biotech_main,,,,
Physical Sciences Building,1,B63,B,biotech_main,,,,
Physical Sciences Building,1,B74,B,biotech_main,,,,
Physical Sciences Building,1,B75,B,biotech_main,,,,
Physical Sciences Building,1,B93,B,biotech_main,,,,
Physical Sciences Building,1,292A,2,biotech_main,,,,
Physical Sciences Building,2,292A,2,biotech_main,,,,
Physical Sciences Building,1,296A,2,biotech_main,,,,
Physical Sciences Building,2,296A,2,biotech_main,,,,
Physical Sciences Building,1,286B,2,biotech_main,,,,
Physical Sciences Building,2,286B,2,biotech_main,,,,
Physical Sciences Building,1,284A,2,biotech_main,,,,
Physical Sciences Building,2,284A,2,biotech_main,,,,
Physical Sciences Building,1,264A,2,biotech_main,,,,
Physical Sciences Building,2,264A,2,biotech_main,,,,
Physical Sciences Building,3,264A,2,biotech_main,,,,
Physical Sciences Building,4,264A,2,biotech_main,,,,
Physical Sciences Building,1,262A,2,biotech_main,,,,
Physical Sciences Building,2,262A,2,biotech_main,,,,
Physical Sciences Building,3,262A,2,biotech_main,,,,
Physical Sciences Building,4,262A,2,biotech_main,,,,
Physical Sciences Building,1,250A,2,biotech_main,,,,
Physical Sciences Building,2,250A,2,biotech_main,,,,
Physical Sciences Building,3,250A,2,biotech_main,,,,
Physical Sciences Building,4,250A,2,biotech_main,,,,
Physical Sciences Building,1,240B,2,biotech_main,,,,
Physical Sciences Building,2,240B,2,biotech_main,,,,
Physical Sciences Building,3,240B,2,biotech_main,,,,
Physical Sciences Building,4,240B,2,biotech_main,,,,
Physical Sciences Building,1,235,2,biotech_main,,,,
Physical Sciences Building,1,232A,2,biotech_main,,,,
Physical Sciences Building,2,232A,2,biotech_main,,,,
Physical Sciences Building,1,220A,2,biotech_main,,,,
Physical Sciences Building,2,220A,2,biotech_main,,,,
Physical Sciences Building,1,230A,2,biotech_main,,,,
Physical Sciences Building,2,230A,2,biotech_main,,,,
Physical Sciences Building,1,260,2,biotech_main,,,,
Physical Sciences Building,1,273,2,biotech_main,,,,
Physical Sciences Building,1,236A,2,biotech_main,,,,
Physical Sciences Building,2,236A,2,biotech_main,,,,
Physical Sciences Building,1,202A,2,biotech_main,,,,
Physical Sciences Building,2,202A,2,biotech_main,,,,
Physical Sciences Building,1,279,2,biotech_main,,,,
Physical Sciences Building,2,G41,G,biotech_main,,,,
Physical Sciences Building,1,364A,3,biotech_main,,,,
Physical Sciences Building,2,364A,3,biotech_main,,,,
Physical Sciences Building,3,364A,3,biotech_main,,,,
Physical Sciences Building,1,379,3,biotech_main,,,,
Physical Sciences Building,1,337,3,biotech_main,,,,
Physical Sciences Building,1,231,2,biotech_main,,,,
Physical Sciences Building,1,270,2,biotech_main,,,,
Physical Sciences Building,1,B32A,B,biotech_main,,,,
Physical Sciences Building,2,279,2,biotech_main,,,,
Physical Sciences Building,1,B87,B,biotech_main,,,,
Physical Sciences Building,1,277,2,biotech_main,,,,
