building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Plant Science Building,1,105,1,biotech_main,,,,
Plant Science Building,1,123E,1,biotech_main,,,,
Plant Science Building,1,144,1,biotech_main,,,,
Plant Science Building,1,146,1,biotech_main,,,,
Plant Science Building,1,147,1,biotech_main,,,,
Plant Science Building,1,202,2,biotech_main,,,,
Plant Science Building,1,203-H,2,biotech_main,,,,
Plant Science Building,1,207,2,biotech_main,,,,
Plant Science Building,1,227,2,biotech_main,,,,
Plant Science Building,1,230,2,biotech_main,,,,
Plant Science Building,1,239A,2,biotech_main,,,,
Plant Science Building,1,240,2,biotech_main,,,,
Plant Science Building,1,242B-H,2,biotech_main,,,,
Plant Science Building,1,250,2,biotech_main,,,,
Plant Science Building,1,253,2,biotech_main,,,,
Plant Science Building,1,262-E,2,biotech_main,,,,
Plant Science Building,1,262-W,2,biotech_main,,,,
Plant Science Building,1,302,3,biotech_main,,,,
Plant Science Building,1,304-01,3,biotech_main,,,,
Plant Science Building,1,341A,3,biotech_main,,,,
Plant Science Building,1,344,3,biotech_main,,,,
Plant Science Building,1,353,3,biotech_main,,,,
Plant Science Building,1,401-H,4,biotech_main,,,,
Plant Science Building,1,405-H,4,biotech_main,,,,
Plant Science Building,1,413-H,4,biotech_main,,,,
Plant Science Building,1,427-H,4,biotech_main,,,,
Plant Science Building,1,430,4,biotech_main,,,,
Plant Science Building,1,433,4,biotech_main,,,,
Plant Science Building,1,434-H,4,biotech_main,,,,
Plant Science Building,1,G021B,G,biotech_main,,,,
Plant Science Building,1,G040,G,biotech_main,,,,
Plant Science Building,1,G041,G,biotech_main,,,,
Plant Science Building,1,211,2,biotech_main,,,,
Plant Science Building,1,Lab  303F,L,biotech_main,,,,
Plant Science Building,2,Lab  303F,L,biotech_main,,,,
Plant Science Building,1,102B,1,biotech_main,,,,
Plant Science Building,1,G09,G,biotech_main,,,,
