building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Riley-Robb Hall,1,140,1,biotech_main,,,,
Riley-Robb Hall,1,141,1,biotech_main,,,,
Riley-Robb Hall,2,141,1,biotech_main,,,,
Riley-Robb Hall,1,144,1,biotech_main,,,,
Riley-Robb Hall,1,145,1,biotech_main,,,,
Riley-Robb Hall,2,145,1,biotech_main,,,,
Riley-Robb Hall,1,149,1,biotech_main,,,,
Riley-Robb Hall,2,149,1,biotech_main,,,,
Riley-Robb Hall,1,153,1,biotech_main,,,,
Riley-Robb Hall,2,153,1,biotech_main,,,,
Riley-Robb Hall,1,246,2,biotech_main,,,,
Riley-Robb Hall,1,158,1,biotech_main,,,,
Riley-Robb Hall,1,170,1,biotech_main,,,,
Riley-Robb Hall,1,171,1,biotech_main,,,,
Riley-Robb Hall,1,174,1,biotech_main,,,,
Riley-Robb Hall,2,174,1,biotech_main,,,,
Riley-Robb Hall,1,B40,B,biotech_main,,,,
Riley-Robb Hall,1,B44,B,biotech_main,,,,
Riley-Robb Hall,1,B45,B,biotech_main,,,,
Riley-Robb Hall,2,B45,B,biotech_main,,,,
Riley-Robb Hall,1,B49,B,biotech_main,,,,
Riley-Robb Hall,2,B49,B,biotech_main,,,,
Riley-Robb Hall,1,B53,B,biotech_main,,,,
Riley-Robb Hall,2,B53,B,biotech_main,,,,
Riley-Robb Hall,1,B56,B,biotech_main,,,,
Riley-Robb Hall,1,B58,B,biotech_main,,,,
Riley-Robb Hall,2,246,2,biotech_main,,,,
Riley-Robb Hall,1,B78,B,biotech_main,,,,
Riley-Robb Hall,1,Lab B74,L,biotech_main,,,,
Riley-Robb Hall,2,Lab B74,L,biotech_main,,,,
Riley-Robb Hall,1,Lab B80,L,biotech_main,,,,
Riley-Robb Hall,1,Lab B77,L,biotech_main,,,,
Riley-Robb Hall,1,Lab B85,L,biotech_main,,,,
Riley-Robb Hall,2,Lab B85,L,biotech_main,,,,
Riley-Robb Hall,1,B68,B,biotech_main,,,,
Riley-Robb Hall,1,Lab B71,L,biotech_main,,,,
Riley-Robb Hall,2,Lab B71,L,biotech_main,,,,
Riley-Robb Hall,1,Lab B73,L,biotech_main,,,,
Riley-Robb Hall,2,Lab B73,L,biotech_main,,,,
Riley-Robb Hall,2,B68,B,biotech_main,,,,
Riley-Robb Hall,1,B80,B,biotech_main,,,,
