building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Robert W Holley Ctr Ag Health,1,101,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,105,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,135,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,138,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,139,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,1A,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,201,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,204,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,205H,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,213,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,228,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,229,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,235,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,238,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,239,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,303,3,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,335,3,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,339,3,biotech_main,,,,
Robert W Holley Ctr Ag Health,1,G-13,G,biotech_main,,,,
