building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
ST Olin,1,162,1,biotech_main,,,,
ST Olin,2,162,1,biotech_main,,,,
ST Olin,1,165,1,biotech_main,,,,
ST Olin,1,170,1,biotech_main,,,,
ST Olin,2,170,1,biotech_main,,,,
ST Olin,1,172,1,biotech_main,,,,
ST Olin,2,172,1,biotech_main,,,,
ST Olin,1,178,1,biotech_main,,,,
ST Olin,2,178,1,biotech_main,,,,
ST Olin,3,178,1,biotech_main,,,,
ST Olin,1,262,2,biotech_main,,,,
ST Olin,1,263,2,biotech_main,,,,
ST Olin,1,278,2,biotech_main,,,,
ST Olin,1,372,3,biotech_main,,,,
ST Olin,2,372,3,biotech_main,,,,
ST Olin,3,372,3,biotech_main,,,,
ST Olin,1,462,4,biotech_main,,,,
ST Olin,2,462,4,biotech_main,,,,
ST Olin,3,462,4,biotech_main,,,,
ST Olin,1,463,4,biotech_main,,,,
ST Olin,1,470,4,biotech_main,,,,
ST Olin,2,470,4,biotech_main,,,,
ST Olin,3,470,4,biotech_main,,,,
ST Olin,1,471,4,biotech_main,,,,
ST Olin,2,471,4,biotech_main,,,,
ST Olin,3,471,4,biotech_main,,,,
ST Olin,1,472,4,biotech_main,,,,
ST Olin,2,472,4,biotech_main,,,,
ST Olin,3,472,4,biotech_main,,,,
ST Olin,4,472,4,biotech_main,,,,
ST Olin,1,475,4,biotech_main,,,,
ST Olin,2,475,4,biotech_main,,,,
ST Olin,3,475,4,biotech_main,,,,
ST Olin,4,475,4,biotech_main,,,,
ST Olin,1,480,4,biotech_main,,,,
ST Olin,2,480,4,biotech_main,,,,
ST Olin,3,480,4,biotech_main,,,,
ST Olin,4,480,4,biotech_main,,,,
ST Olin,1,562A,5,biotech_main,,,,
ST Olin,2,562A,5,biotech_main,,,,
ST Olin,3,562A,5,biotech_main,,,,
ST Olin,4,562A,5,biotech_main,,,,
ST Olin,1,565A,5,biotech_main,,,,
ST Olin,2,565A,5,biotech_main,,,,
ST Olin,3,565A,5,biotech_main,,,,
ST Olin,4,565A,5,biotech_main,,,,
ST Olin,5,565A,5,biotech_main,,,,
ST Olin,6,565A,5,biotech_main,,,,
ST Olin,1,570A,5,biotech_main,,,,
ST Olin,2,570A,5,biotech_main,,,,
ST Olin,3,570A,5,biotech_main,,,,
ST Olin,4,570A,5,biotech_main,,,,
ST Olin,1,571,5,biotech_main,,,,
ST Olin,2,571,5,biotech_main,,,,
ST Olin,3,571,5,biotech_main,,,,
ST Olin,4,571,5,biotech_main,,,,
ST Olin,1,572,5,biotech_main,,,,
ST Olin,2,572,5,biotech_main,,,,
ST Olin,1,572A,5,biotech_main,,,,
ST Olin,2,572A,5,biotech_main,,,,
ST Olin,1,575,5,biotech_main,,,,
ST Olin,2,575,5,biotech_main,,,,
ST Olin,3,575,5,biotech_main,,,,
ST Olin,1,G61,G,biotech_main,,,,
ST Olin,1,G65,G,biotech_main,,,,
ST Olin,1,G67,G,biotech_main,,,,
ST Olin,1,G75B,G,biotech_main,,,,
ST Olin,1,272A,2,biotech_main,,,,
ST Olin,1,275A,2,biotech_main,,,,
ST Olin,1,662A,6,biotech_main,,,,
ST Olin,1,677,6,biotech_main,,,,
ST Olin,1,668A,6,biotech_main,,,,
ST Olin,1,676,6,biotech_main,,,,
ST Olin,2,676,6,biotech_main,,,,
ST Olin,1,364A,3,biotech_main,,,,
ST Olin,2,364A,3,biotech_main,,,,
ST Olin,3,364A,3,biotech_main,,,,
ST Olin,4,364A,3,biotech_main,,,,
ST Olin,1,370A,3,biotech_main,,,,
ST Olin,2,370A,3,biotech_main,,,,
ST Olin,3,370A,3,biotech_main,,,,
ST Olin,4,370A,3,biotech_main,,,,
ST Olin,1,361A,3,biotech_main,,,,
ST Olin,2,361A,3,biotech_main,,,,
ST Olin,3,361A,3,biotech_main,,,,
ST Olin,4,361A,3,biotech_main,,,,
ST Olin,1,365A,3,biotech_main,,,,
ST Olin,2,365A,3,biotech_main,,,,
ST Olin,3,365A,3,biotech_main,,,,
ST Olin,4,365A,3,biotech_main,,,,
ST Olin,1,762A,7,biotech_main,,,,
ST Olin,2,762A,7,biotech_main,,,,
ST Olin,1,768A,7,biotech_main,,,,
ST Olin,2,768A,7,biotech_main,,,,
ST Olin,1,770A,7,biotech_main,,,,
ST Olin,1,780A,7,biotech_main,,,,
ST Olin,2,780A,7,biotech_main,,,,
ST Olin,1,761A,7,biotech_main,,,,
ST Olin,1,580A,5,biotech_main,,,,
ST Olin,2,580A,5,biotech_main,,,,
ST Olin,3,580A,5,biotech_main,,,,
ST Olin,4,580A,5,biotech_main,,,,
ST Olin,1,573,5,biotech_main,,,,
ST Olin,2,573,5,biotech_main,,,,
ST Olin,1,273,2,biotech_main,,,,
