building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Seeley G Mudd Hall,1,W112,W,biotech_main,,,,
Seeley G Mudd Hall,1,347B,3,biotech_main,,,,
Seeley G Mudd Hall,1,W120,W,biotech_main,,,,
Seeley G Mudd Hall,1,W129,W,biotech_main,,,,
Seeley G Mudd Hall,1,W153,W,biotech_main,,,,
Seeley G Mudd Hall,1,W220,W,biotech_main,,,,
Seeley G Mudd Hall,1,W233,W,biotech_main,,,,
Seeley G Mudd Hall,2,W233,W,biotech_main,,,,
Seeley G Mudd Hall,1,W243,W,biotech_main,,,,
Seeley G Mudd Hall,1,W244,W,biotech_main,,,,
Seeley G Mudd Hall,1,W314,W,biotech_main,,,,
Seeley G Mudd Hall,1,W350,W,biotech_main,,,,
Seeley G Mudd Hall,1,W355,W,biotech_main,,,,
Seeley G Mudd Hall,1,W327,W,biotech_main,,,,
Seeley G Mudd Hall,1,W354,W,biotech_main,,,,
Seeley G Mudd Hall,1,W117,W,biotech_main,,,,
