building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Snee Hall,1,1162,1,biotech_main,,,,
Snee Hall,1,3146A,3,biotech_main,,,,
Snee Hall,2,3146A,3,biotech_main,,,,
Snee Hall,1,3158,3,biotech_main,,,,
Snee Hall,1,4146,4,biotech_main,,,,
Snee Hall,1,4158,4,biotech_main,,,,
Snee Hall,1,4160,4,biotech_main,,,,
Snee Hall,1,4161B,4,biotech_main,,,,
Snee Hall,2,4161B,4,biotech_main,,,,
Snee Hall,1,4146B,4,biotech_main,,,,
Snee Hall,2,4158,4,biotech_main,,,,
Snee Hall,3,4158,4,biotech_main,,,,
Snee Hall,1,4161C,4,biotech_main,,,,
Snee Hall,2,4161C,4,biotech_main,,,,
