building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Stocking Hall,1,250B,2,biotech_main,,,,
Stocking Hall,1,250C,2,biotech_main,,,,
Stocking Hall,1,252B,2,biotech_main,,,,
Stocking Hall,1,252C,2,biotech_main,,,,
Stocking Hall,1,253B,2,biotech_main,,,,
Stocking Hall,1,253C,2,biotech_main,,,,
Stocking Hall,1,253D,2,biotech_main,,,,
Stocking Hall,1,255C,2,biotech_main,,,,
Stocking Hall,1,257C,2,biotech_main,,,,
Stocking Hall,1,259B,2,biotech_main,,,,
Stocking Hall,1,254B,2,biotech_main,,,,
Stocking Hall,1,256C,2,biotech_main,,,,
Stocking Hall,1,357C,3,biotech_main,,,,
Stocking Hall,2,357C,3,biotech_main,,,,
Stocking Hall,1,355C,3,biotech_main,,,,
Stocking Hall,1,353B,3,biotech_main,,,,
Stocking Hall,1,350C,3,biotech_main,,,,
Stocking Hall,1,352C,3,biotech_main,,,,
Stocking Hall,1,354B,3,biotech_main,,,,
Stocking Hall,1,356B,3,biotech_main,,,,
Stocking Hall,1,254B Lab,2,biotech_main,,,,
Stocking Hall,1,353A Lab,3,biotech_main,,,,
