building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Thurston Hall,1,333,3,biotech_main,,,,
Thurston Hall,1,401,4,biotech_main,,,,
Thurston Hall,2,401,4,biotech_main,,,,
Thurston Hall,3,401,4,biotech_main,,,,
Thurston Hall,1,402,4,biotech_main,,,,
Thurston Hall,2,402,4,biotech_main,,,,
Thurston Hall,1,403,4,biotech_main,,,,
Thurston Hall,2,403,4,biotech_main,,,,
Thurston Hall,1,404,4,biotech_main,,,,
Thurston Hall,1,407,4,biotech_main,,,,
Thurston Hall,2,407,4,biotech_main,,,,
Thurston Hall,1,408,4,biotech_main,,,,
Thurston Hall,1,415,4,biotech_main,,,,
Thurston Hall,2,415,4,biotech_main,,,,
Thurston Hall,1,417,4,biotech_main,,,,
Thurston Hall,2,417,4,biotech_main,,,,
Thurston Hall,1,420,4,biotech_main,,,,
Thurston Hall,2,420,4,biotech_main,,,,
Thurston Hall,1,421,4,biotech_main,,,,
Thurston Hall,1,406,4,biotech_main,,,,
Thurston Hall,2,406,4,biotech_main,,,,
Thurston Hall,1,B05 Concrete Lab,B,biotech_main,,,,
