building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Vet Medical Center,1,C1027A,C,biotech_main,,,,
Vet Medical Center,1,C4134,C,biotech_main,,,,
Vet Medical Center,1,C1054,C,biotech_main,,,,
Vet Medical Center,1,C2002,C,biotech_main,,,,
Vet Medical Center,1,C2008,C,biotech_main,,,,
Vet Medical Center,1,C2016,C,biotech_main,,,,
Vet Medical Center,1,C2026,C,biotech_main,,,,
Vet Medical Center,1,C2040,C,biotech_main,,,,
Vet Medical Center,1,C2222,C,biotech_main,,,,
Vet Medical Center,1,C3102,C,biotech_main,,,,
Vet Medical Center,1,C3104,C,biotech_main,,,,
Vet Medical Center,1,C3114,C,biotech_main,,,,
Vet Medical Center,1,C3115,C,biotech_main,,,,
Vet Medical Center,1,C3122,C,biotech_main,,,,
Vet Medical Center,1,C3126,C,biotech_main,,,,
Vet Medical Center,1,C3130,C,biotech_main,,,,
Vet Medical Center,1,C3132,C,biotech_main,,,,
Vet Medical Center,1,C3134,C,biotech_main,,,,
Vet Medical Center,1,C3140,C,biotech_main,,,,
Vet Medical Center,1,C3144,C,biotech_main,,,,
Vet Medical Center,1,C3156,C,biotech_main,,,,
Vet Medical Center,1,C3164,C,biotech_main,,,,
Vet Medical Center,1,C3172,C,biotech_main,,,,
Vet Medical Center,1,C1054E,C,biotech_main,,,,
Vet Medical Center,1,C1054W,C,biotech_main,,,,
Vet Medical Center,1,C2029A,C,biotech_main,,,,
Vet Medical Center,2,C2029A,C,biotech_main,,,,
Vet Medical Center,1,C2029B,C,biotech_main,,,,
Vet Medical Center,2,C2029B,C,biotech_main,,,,
Vet Medical Center,1,C3174,C,biotech_main,,,,
Vet Medical Center,1,C3176,C,biotech_main,,,,
Vet Medical Center,1,C4102,C,biotech_main,,,,
Vet Medical Center,1,C4108,C,biotech_main,,,,
Vet Medical Center,1,C4114,C,biotech_main,,,,
Vet Medical Center,1,C4118,C,biotech_main,,,,
Vet Medical Center,1,C4132,C,biotech_main,,,,
Vet Medical Center,1,C4136,C,biotech_main,,,,
Vet Medical Center,1,C4140,C,biotech_main,,,,
Vet Medical Center,1,C4146,C,biotech_main,,,,
Vet Medical Center,1,C4156,C,biotech_main,,,,
Vet Medical Center,1,C4160A,C,biotech_main,,,,
Vet Medical Center,1,C4162A,C,biotech_main,,,,
Vet Medical Center,1,C4168,C,biotech_main,,,,
Vet Medical Center,1,C5102,C,biotech_main,,,,
Vet Medical Center,1,C5108,C,biotech_main,,,,
Vet Medical Center,1,C5110,C,biotech_main,,,,
Vet Medical Center,1,C5114,C,biotech_main,,,,
Vet Medical Center,1,C5115,C,biotech_main,,,,
Vet Medical Center,1,C5122,C,biotech_main,,,,
Vet Medical Center,1,C5130,C,biotech_main,,,,
Vet Medical Center,1,C5132,C,biotech_main,,,,
Vet Medical Center,1,C5134,C,biotech_main,,,,
Vet Medical Center,1,C5138,C,biotech_main,,,,
Vet Medical Center,1,C5142,C,biotech_main,,,,
Vet Medical Center,1,C5152,C,biotech_main,,,,
Vet Medical Center,1,C5160,C,biotech_main,,,,
Vet Medical Center,1,C5166,C,biotech_main,,,,
Vet Medical Center,1,C5168,C,biotech_main,,,,
Vet Medical Center,1,C5174,C,biotech_main,,,,
Vet Medical Center,1,C1116,C,biotech_main,,,,
Vet Medical Center,2,C1116,C,biotech_main,,,,
Vet Medical Center,1,C1118,C,biotech_main,,,,
Vet Medical Center,2,C1118,C,biotech_main,,,,
Vet Medical Center,1,C1116J,C,biotech_main,,,,
Vet Medical Center,2,C1116J,C,biotech_main,,,,
Vet Medical Center,1,C4176,C,biotech_main,,,,
Vet Medical Center,1,C4104,C,biotech_main,,,,
