building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Vet Research Tower,1,T2001,T,biotech_main,,,,
Vet Research Tower,1,T2001E,T,biotech_main,,,,
Vet Research Tower,1,T2007,T,biotech_main,,,,
Vet Research Tower,1,T2007C,T,biotech_main,,,,
Vet Research Tower,1,T3001,T,biotech_main,,,,
Vet Research Tower,2,T3001,T,biotech_main,,,,
Vet Research Tower,1,T4009,T,biotech_main,,,,
Vet Research Tower,1,T4017,T,biotech_main,,,,
Vet Research Tower,2,T4017,T,biotech_main,,,,
Vet Research Tower,1,T4021,T,biotech_main,,,,
Vet Research Tower,1,T5003,T,biotech_main,,,,
Vet Research Tower,1,T5011,T,biotech_main,,,,
Vet Research Tower,1,T5013,T,biotech_main,,,,
Vet Research Tower,1,T5021,T,biotech_main,,,,
Vet Research Tower,1,T6007,T,biotech_main,,,,
Vet Research Tower,2,T6007,T,biotech_main,,,,
Vet Research Tower,3,T6007,T,biotech_main,,,,
Vet Research Tower,1,T7007,T,biotech_main,,,,
Vet Research Tower,2,T7007,T,biotech_main,,,,
Vet Research Tower,3,T7007,T,biotech_main,,,,
Vet Research Tower,1,T8007,T,biotech_main,,,,
Vet Research Tower,1,T9007,T,biotech_main,,,,
Vet Research Tower,2,T9007,T,biotech_main,,,,
Vet Research Tower,1,TB013,T,biotech_main,,,,
Vet Research Tower,2,T8007,T,biotech_main,,,,
Vet Research Tower,1,TB016,T,biotech_main,,,,
Vet Research Tower,3,T3001,T,biotech_main,,,,
Vet Research Tower,3,T8007,T,biotech_main,,,,
Vet Research Tower,4,T8007,T,biotech_main,,,,
