building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Weill Hall,1,413B,4,biotech_main,,,,
Weill Hall,1,414B,4,biotech_main,,,,
Weill Hall,1,410B,4,biotech_main,,,,
Weill Hall,1,464B,4,biotech_main,,,,
Weill Hall,1,440,4,biotech_main,,,,
Weill Hall,1,409B,4,biotech_main,,,,
Weill Hall,1,438A,4,biotech_main,,,,
Weill Hall,1,452,4,biotech_main,,,,
Weill Hall,1,448,4,biotech_main,,,,
Weill Hall,1,434A,4,biotech_main,,,,
Weill Hall,1,444B,4,biotech_main,,,,
Weill Hall,1,460,4,biotech_main,,,,
Weill Hall,1,452B,4,biotech_main,,,,
Weill Hall,1,340A,3,biotech_main,,,,
Weill Hall,1,314B,3,biotech_main,,,,
Weill Hall,1,313B,3,biotech_main,,,,
Weill Hall,1,340,3,biotech_main,,,,
Weill Hall,1,364B,3,biotech_main,,,,
Weill Hall,1,360,3,biotech_main,,,,
Weill Hall,1,348A,3,biotech_main,,,,
Weill Hall,1,334A,3,biotech_main,,,,
Weill Hall,1,352B,3,biotech_main,,,,
Weill Hall,1,352,3,biotech_main,,,,
Weill Hall,1,310B,3,biotech_main,,,,
Weill Hall,1,140,1,biotech_main,,,,
Weill Hall,1,309B,3,biotech_main,,,,
Weill Hall,1,248A,2,biotech_main,,,,
Weill Hall,1,252A,2,biotech_main,,,,
Weill Hall,1,256A,2,biotech_main,,,,
Weill Hall,1,264A,2,biotech_main,,,,
Weill Hall,1,218A,2,biotech_main,,,,
Weill Hall,1,202A,2,biotech_main,,,,
Weill Hall,1,238C,2,biotech_main,,,,
Weill Hall,1,240A,2,biotech_main,,,,
Weill Hall,1,240,2,biotech_main,,,,
Weill Hall,1,260,2,biotech_main,,,,
Weill Hall,1,234B,2,biotech_main,,,,
Weill Hall,1,164A,1,biotech_main,,,,
Weill Hall,1,156A,1,biotech_main,,,,
Weill Hall,1,160,1,biotech_main,,,,
Weill Hall,1,148A,1,biotech_main,,,,
Weill Hall,1,148B-02,1,biotech_main,,,,
Weill Hall,1,148B-03,1,biotech_main,,,,
Weill Hall,1,148B-01,1,biotech_main,,,,
Weill Hall,1,134B,1,biotech_main,,,,
Weill Hall,1,B36,B,biotech_main,,,,
Weill Hall,1,B54,B,biotech_main,,,,
Weill Hall,1,B60,B,biotech_main,,,,
Weill Hall,1,338C,3,biotech_main,,,,
Weill Hall,1,252,2,biotech_main,,,,
Weill Hall,1,B05-A,B,biotech_main,,,,
Weill Hall,1,B07A,B,biotech_main,,,,
Weill Hall,1,B07D,B,biotech_main,,,,
Weill Hall,1,308,3,biotech_main,,,,
Weill Hall,2,140,1,biotech_main,,,,
Weill Hall,3,140,1,biotech_main,,,,
Weill Hall,4,140,1,biotech_main,,,,
Weill Hall,5,140,1,biotech_main,,,,
Weill Hall,6,140,1,biotech_main,,,,
Weill Hall,1,B25,B,biotech_main,,,,
