building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Wing Hall Wing,1,156,1,biotech_main,,,,
Wing Hall Wing,1,157,1,biotech_main,,,,
Wing Hall Wing,1,175,1,biotech_main,,,,
Wing Hall Wing,2,175,1,biotech_main,,,,
Wing Hall Wing,1,257,2,biotech_main,,,,
Wing Hall Wing,1,260,2,biotech_main,,,,
Wing Hall Wing,1,261,2,biotech_main,,,,
Wing Hall Wing,1,270,2,biotech_main,,,,
Wing Hall Wing,1,270A,2,biotech_main,,,,
Wing Hall Wing,1,358,3,biotech_main,,,,
Wing Hall Wing,1,359,3,biotech_main,,,,
Wing Hall Wing,1,360,3,biotech_main,,,,
Wing Hall Wing,1,363,3,biotech_main,,,,
Wing Hall Wing,1,370,3,biotech_main,,,,
Wing Hall Wing,1,370A,3,biotech_main,,,,
Wing Hall Wing,1,B52,B,biotech_main,,,,
Wing Hall Wing,1,B53,B,biotech_main,,,,
Wing Hall Wing,1,B56,B,biotech_main,,,,
Wing Hall Wing,1,B57,B,biotech_main,,,,
Wing Hall Wing,1,B76,B,biotech_main,,,,
