Location,Control Program,Name,Type,ObjectId,DeviceId,ObjectName,Path
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-2 Zones,B08 (VAV-BL1),Occupancy Sensor,BBI,BI:1,DEV:30617,occ1_1,#baker_lab_b08_vav-bl1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-2 Zones,B12 (PHX-BM1),Occupancy Sensor,BBI,BI:2,DEV:30618,occ1_1,#baker_lab_b12_phx-bm1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-3 Zones,B16 (VAV-BY1),Occupancy Sensor,BBI,BI:1,DEV:30520,occ1_1,#baker_lab_b16_vav-by1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-3 Zones,B20 (VAV-BZ1),Occupancy Sensor,BBI,BI:1,DEV:30519,occ1_1,#baker_lab_b20_vav-bz1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-3 Zones,B22 (VAV-BV1),Occupancy Sensor,BBI,BI:1,DEV:30518,occ1_1,#baker_lab_b22_vav-bv1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-3 Zones,B24 (VAV-BW1),Occupancy Sensor,BBI,BI:1,DEV:30517,occ1_1,#baker_lab_b24_vav-bw1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-4 Zones,B26/B28/B30 (VAV-BT1),Occupancy Sensor,BBI,BI:1,DEV:30508,occ1_1,#baker_lab_b22b2628b30_vav-bt1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-4 Zones,B32 (VAV-BS1),Occupancy Sensor,BBI,BI:1,DEV:30507,occ1_1,#baker_lab_b32_vav-bs1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-4 Zones,B34 (VAV-BR1),Occupancy Sensor,BBI,BI:1,DEV:30505,occ1_1,#baker_lab_b34_vav-br1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-4 Zones,B38 (VAV-BP1),Occupancy Sensor,BBI,BI:1,DEV:30503,occ1_1,#baker_lab_b38_vav-bp1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-4 Zones,B40 (VAV-BO1),Occupancy Sensor,BBI,BI:1,DEV:30501,occ1_1,#baker_lab_b40_vav-bo1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-5 Zones,B46 (RHC-BR),Occupancy Sensor,BBI,BI:1,DEV:30705,occ1_1,#baker_lab_b46_gex-4j1_rhc-br/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-5 Zones,B46A (RHC-BS),Occupancy Sensor,BBI,BI:1,DEV:30706,occ1_1,#baker_lab_b46a_rhc-bs/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-5 Zones,B48 (RHC-BT),Occupancy Sensor,BBI,BI:1,DEV:30704,occ1_1,#baker_lab_b48_rhc-bt/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-5 Zones,B50 (RHC-BV),Occupancy Sensor,BBI,BI:1,DEV:30707,occ1_1,#baker_lab_b50_rhc-bv/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-5 Zones,B50A (RHC-BU),Occupancy Sensor,BBI,BI:1,DEV:30703,occ1_1,#baker_lab_b50a_gex-4k1_rhc-bu/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-7 Zones,B21 (PHX-BZ),Occupancy Sensor,BBI,BI:1,DEV:30515,occ1_1,#baker_lab_b21_phx-bz/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-7 Zones,B27 (VAV-BC1),Occupancy Sensor,BBI,BI:1,DEV:30512,occ1_1,#baker_lab_b27_vav-bc1/occ1
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-7 Zones,B35 (VAV-BW),Occupancy Sensor,BBI,BI:1,DEV:30504,occ1_1,#baker_lab_b35_vav-bw/occ1
