building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Baker Institute West Wing,,120,1,biotech_main,,,,
Baker Institute West Wing,,122,1,biotech_main,,,,
Baker Institute West Wing,,131,1,biotech_main,,,,
Baker Institute West Wing,,133,1,biotech_main,,,,
Baker Institute West Wing,,135,1,biotech_main,,,,
Baker Institute West Wing,,220,2,biotech_main,,,,
Baker Institute West Wing,,222,2,biotech_main,,,,
Baker Institute West Wing,,231,2,biotech_main,,,,
Baker Institute West Wing,,233,2,biotech_main,,,,
Baker Institute West Wing,,235,2,biotech_main,,,,
