building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Baker Laboratory,,101A,1,biotech_main,,,,
Baker Laboratory,,101A,1,biotech_main,,,,
Baker Laboratory,,101A,1,biotech_main,,,,
Baker Laboratory,,101B,1,biotech_main,,,,
Baker Laboratory,,101B,1,biotech_main,,,,
Baker Laboratory,,101B,1,biotech_main,,,,
Baker Laboratory,,101C,1,biotech_main,,,,
Baker Laboratory,,101C,1,biotech_main,,,,
Baker Laboratory,,101C,1,biotech_main,,,,
Baker Laboratory,,101D,1,biotech_main,,,,
Baker Laboratory,,101D,1,biotech_main,,,,
Baker Laboratory,,101D,1,biotech_main,,,,
Baker Laboratory,,101E,1,biotech_main,,,,
Baker Laboratory,,101E,1,biotech_main,,,,
Baker Laboratory,,101E,1,biotech_main,,,,
Baker Laboratory,,101H,1,biotech_main,,,,
Baker Laboratory,,110,1,biotech_main,,,,
Baker Laboratory,,110,1,biotech_main,,,,
Baker Laboratory,,110,1,biotech_main,,,,
Baker Laboratory,,112,1,biotech_main,,,,
Baker Laboratory,,230A,2,biotech_main,,,,
Baker Laboratory,,114,1,biotech_main,,,,
Baker Laboratory,,146,1,biotech_main,,,,
Baker Laboratory,,146,1,biotech_main,,,,
Baker Laboratory,,200C,2,biotech_main,,,,
Baker Laboratory,,201A,2,biotech_main,,,,
Baker Laboratory,,201A,2,biotech_main,,,,
Baker Laboratory,,201A,2,biotech_main,,,,
Baker Laboratory,,201B,2,biotech_main,,,,
Baker Laboratory,,201B,2,biotech_main,,,,
Baker Laboratory,,201B,2,biotech_main,,,,
Baker Laboratory,,201C,2,biotech_main,,,,
Baker Laboratory,,201C,2,biotech_main,,,,
Baker Laboratory,,201C,2,biotech_main,,,,
Baker Laboratory,,201D,2,biotech_main,,,,
Baker Laboratory,,201D,2,biotech_main,,,,
Baker Laboratory,,201D,2,biotech_main,,,,
Baker Laboratory,,201E,2,biotech_main,,,,
Baker Laboratory,,201E,2,biotech_main,,,,
Baker Laboratory,,201H,2,biotech_main,,,,
Baker Laboratory,,230A,2,biotech_main,,,,
Baker Laboratory,,230A,2,biotech_main,,,,
Baker Laboratory,,110,1,biotech_main,,,,
Baker Laboratory,,301A,3,biotech_main,,,,
Baker Laboratory,,301A,3,biotech_main,,,,
Baker Laboratory,,301A,3,biotech_main,,,,
Baker Laboratory,,301B,3,biotech_main,,,,
Baker Laboratory,,301B,3,biotech_main,,,,
Baker Laboratory,,301B,3,biotech_main,,,,
Baker Laboratory,,301C,3,biotech_main,,,,
Baker Laboratory,,301C-B,3,biotech_main,,,,
Baker Laboratory,,301C,3,biotech_main,,,,
Baker Laboratory,,301D,3,biotech_main,,,,
Baker Laboratory,,301D,3,biotech_main,,,,
Baker Laboratory,,301D,3,biotech_main,,,,
Baker Laboratory,,301E,3,biotech_main,,,,
Baker Laboratory,,301E,3,biotech_main,,,,
Baker Laboratory,,301E,3,biotech_main,,,,
Baker Laboratory,,301H,3,biotech_main,,,,
Baker Laboratory,,305,3,biotech_main,,,,
Baker Laboratory,,312,3,biotech_main,,,,
Baker Laboratory,,316,3,biotech_main,,,,
Baker Laboratory,,110,1,biotech_main,,,,
Baker Laboratory,,B19,B,biotech_main,,,,
Baker Laboratory,,B19,B,biotech_main,,,,
Baker Laboratory,,B01C,B,biotech_main,,,,
Baker Laboratory,,B01C,B,biotech_main,,,,
Baker Laboratory,,B01C,B,biotech_main,,,,
Baker Laboratory,,B01C,B,biotech_main,,,,
Baker Laboratory,,B01E,B,biotech_main,,,,
Baker Laboratory,,B01E,B,biotech_main,,,,
Baker Laboratory,,B02,B,biotech_main,,,,
Baker Laboratory,,B19-1,B,biotech_main,,,,
Baker Laboratory,,B22A,B,biotech_main,,,,
Baker Laboratory,,B24,B,biotech_main,,,,
Baker Laboratory,,B24,B,biotech_main,,,,
Baker Laboratory,,B27,B,biotech_main,,,,
Baker Laboratory,,B32,B,biotech_main,,,,
Baker Laboratory,,B35,B,biotech_main,,,,
Baker Laboratory,,B35,B,biotech_main,,,,
Baker Laboratory,,G01A,G,biotech_main,,,,
Baker Laboratory,,G01A,G,biotech_main,,,,
Baker Laboratory,,G01A,G,biotech_main,,,,
Baker Laboratory,,G01B,G,biotech_main,,,,
Baker Laboratory,,G01B,G,biotech_main,,,,
Baker Laboratory,,G01B,G,biotech_main,,,,
Baker Laboratory,,G01C,G,biotech_main,,,,
Baker Laboratory,,G01C,G,biotech_main,,,,
Baker Laboratory,,G01C,G,biotech_main,,,,
Baker Laboratory,,G01D,G,biotech_main,,,,
Baker Laboratory,,G01D,G,biotech_main,,,,
Baker Laboratory,,G01D,G,biotech_main,,,,
Baker Laboratory,,G01E,G,biotech_main,,,,
Baker Laboratory,,G01E,G,biotech_main,,,,
Baker Laboratory,,G01E,G,biotech_main,,,,
Baker Laboratory,,G01H,G,biotech_main,,,,
Baker Laboratory,,G16,G,biotech_main,,,,
Baker Laboratory,,G16,G,biotech_main,,,,
Baker Laboratory,,G24,G,biotech_main,,,,
Baker Laboratory,,G24,G,biotech_main,,,,
Baker Laboratory,,G32,G,biotech_main,,,,
Baker Laboratory,,G46,G,biotech_main,,,,
Baker Laboratory,,G46,G,biotech_main,,,,
Baker Laboratory,,G46,G,biotech_main,,,,
Baker Laboratory,,201E,2,biotech_main,,,,
Baker Laboratory,,112A,1,biotech_main,,,,
Baker Laboratory,,317,3,biotech_main,,,,
Baker Laboratory,,317,3,biotech_main,,,,
Baker Laboratory,,317,3,biotech_main,,,,
Baker Laboratory,,317,3,biotech_main,,,,
