building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Bard Hall,,131,1,biotech_main,,,,
Bard Hall,,131,1,biotech_main,,,,
Bard Hall,,156,1,biotech_main,,,,
Bard Hall,,247,2,biotech_main,,,,
Bard Hall,,247,2,biotech_main,,,,
Bard Hall,,250,2,biotech_main,,,,
Bard Hall,,258,2,biotech_main,,,,
Bard Hall,,SB36,S,biotech_main,,,,
Bard Hall,,344,3,biotech_main,,,,
Bard Hall,,344,3,biotech_main,,,,
Bard Hall,,347,3,biotech_main,,,,
Bard Hall,,350,3,biotech_main,,,,
Bard Hall,,350,3,biotech_main,,,,
Bard Hall,,350,3,biotech_main,,,,
Bard Hall,,350,3,biotech_main,,,,
Bard Hall,,359,3,biotech_main,,,,
Bard Hall,,359,3,biotech_main,,,,
Bard Hall,,359,3,biotech_main,,,,
Bard Hall,,359,3,biotech_main,,,,
Bard Hall,,361,3,biotech_main,,,,
Bard Hall,,B47A,B,biotech_main,,,,
Bard Hall,,SB28-NE,S,biotech_main,,,,
Bard Hall,,SB28-NW,S,biotech_main,,,,
Bard Hall,,SB28-SE,S,biotech_main,,,,
Bard Hall,,SB28-SW,S,biotech_main,,,,
Bard Hall,,SB40,S,biotech_main,,,,
Bard Hall,,SB60,S,biotech_main,,,,
Bard Hall,,SB60,S,biotech_main,,,,
Bard Hall,,SB60,S,biotech_main,,,,
Bard Hall,,SB60,S,biotech_main,,,,
Bard Hall,,SB60,S,biotech_main,,,,
Bard Hall,,SB60,S,biotech_main,,,,
Bard Hall,,150,1,biotech_main,,,,
Bard Hall,,150,1,biotech_main,,,,
Bard Hall,,150,1,biotech_main,,,,
Bard Hall,,150,1,biotech_main,,,,
Bard Hall,,150,1,biotech_main,,,,
Bard Hall,,B58A,B,biotech_main,,,,
Bard Hall,,B58B,B,biotech_main,,,,
Bard Hall,,356,3,biotech_main,,,,
Bard Hall,,356,3,biotech_main,,,,
Bard Hall,,356,3,biotech_main,,,,
Bard Hall,,B44,B,biotech_main,,,,
