building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Biotechnology,,141,1,biotech_main,,,,
Biotechnology,,143,1,biotech_main,,,,
Biotechnology,,147B,1,biotech_main,,,,
Biotechnology,,153,1,biotech_main,,,,
Biotechnology,,153,1,biotech_main,,,,
Biotechnology,,155,1,biotech_main,,,,
Biotechnology,,160,1,biotech_main,,,,
Biotechnology,,203,2,biotech_main,,,,
Biotechnology,,203,2,biotech_main,,,,
Biotechnology,,209,2,biotech_main,,,,
Biotechnology,,209,2,biotech_main,,,,
Biotechnology,,217,2,biotech_main,,,,
Biotechnology,,221,2,biotech_main,,,,
Biotechnology,,221,2,biotech_main,,,,
Biotechnology,,227,2,biotech_main,,,,
Biotechnology,,227,2,biotech_main,,,,
Biotechnology,,233,2,biotech_main,,,,
Biotechnology,,233,2,biotech_main,,,,
Biotechnology,,236,2,biotech_main,,,,
Biotechnology,,241,2,biotech_main,,,,
Biotechnology,,241,2,biotech_main,,,,
Biotechnology,,245,2,biotech_main,,,,
Biotechnology,,245,2,biotech_main,,,,
Biotechnology,,253,2,biotech_main,,,,
Biotechnology,,253,2,biotech_main,,,,
Biotechnology,,257,2,biotech_main,,,,
Biotechnology,,257,2,biotech_main,,,,
Biotechnology,,260,2,biotech_main,,,,
Biotechnology,,260,2,biotech_main,,,,
Biotechnology,,267,2,biotech_main,,,,
Biotechnology,,267,2,biotech_main,,,,
Biotechnology,,303,3,biotech_main,,,,
Biotechnology,,303,3,biotech_main,,,,
Biotechnology,,309,3,biotech_main,,,,
Biotechnology,,309,3,biotech_main,,,,
Biotechnology,,317,3,biotech_main,,,,
Biotechnology,,317,3,biotech_main,,,,
Biotechnology,,318,3,biotech_main,,,,
Biotechnology,,321,3,biotech_main,,,,
Biotechnology,,321,3,biotech_main,,,,
Biotechnology,,327,3,biotech_main,,,,
Biotechnology,,327,3,biotech_main,,,,
Biotechnology,,333,3,biotech_main,,,,
Biotechnology,,333,3,biotech_main,,,,
Biotechnology,,336,3,biotech_main,,,,
Biotechnology,,341,3,biotech_main,,,,
Biotechnology,,341,3,biotech_main,,,,
Biotechnology,,345,3,biotech_main,,,,
Biotechnology,,353,3,biotech_main,,,,
Biotechnology,,353,3,biotech_main,,,,
Biotechnology,,357,3,biotech_main,,,,
Biotechnology,,357,3,biotech_main,,,,
Biotechnology,,360,3,biotech_main,,,,
Biotechnology,,360,3,biotech_main,,,,
Biotechnology,,367,3,biotech_main,,,,
Biotechnology,,367,3,biotech_main,,,,
Biotechnology,,403,4,biotech_main,,,,
Biotechnology,,403,4,biotech_main,,,,
Biotechnology,,409,4,biotech_main,,,,
Biotechnology,,409,4,biotech_main,,,,
Biotechnology,,417,4,biotech_main,,,,
Biotechnology,,417,4,biotech_main,,,,
Biotechnology,,418,4,biotech_main,,,,
Biotechnology,,421,4,biotech_main,,,,
Biotechnology,,421,4,biotech_main,,,,
Biotechnology,,427,4,biotech_main,,,,
Biotechnology,,427,4,biotech_main,,,,
Biotechnology,,433,4,biotech_main,,,,
Biotechnology,,436,4,biotech_main,,,,
Biotechnology,,441,4,biotech_main,,,,
Biotechnology,,441,4,biotech_main,,,,
Biotechnology,,445,4,biotech_main,,,,
Biotechnology,,445,4,biotech_main,,,,
Biotechnology,,453,4,biotech_main,,,,
Biotechnology,,453,4,biotech_main,,,,
Biotechnology,,457,4,biotech_main,,,,
Biotechnology,,457,4,biotech_main,,,,
Biotechnology,,467,4,biotech_main,,,,
Biotechnology,,467,4,biotech_main,,,,
Biotechnology,,G59,G,biotech_main,,,,
Biotechnology,,G54,G,biotech_main,,,,
Biotechnology,,460B,4,biotech_main,,,,
Biotechnology,,467,4,biotech_main,,,,
Biotechnology,,3G49,3,biotech_main,,,,
