building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Boyce Thompson Institute,,104,1,biotech_main,,,,
Boyce Thompson Institute,,108,1,biotech_main,,,,
Boyce Thompson Institute,,110,1,biotech_main,,,,
Boyce Thompson Institute,,110A,1,biotech_main,,,,
Boyce Thompson Institute,,114,1,biotech_main,,,,
Boyce Thompson Institute,,116,1,biotech_main,,,,
Boyce Thompson Institute,,116A,1,biotech_main,,,,
Boyce Thompson Institute,,118,1,biotech_main,,,,
Boyce Thompson Institute,,120,1,biotech_main,,,,
Boyce Thompson Institute,,122,1,biotech_main,,,,
Boyce Thompson Institute,,160-N,1,biotech_main,,,,
Boyce Thompson Institute,,160-S,1,biotech_main,,,,
Boyce Thompson Institute,,206,2,biotech_main,,,,
Boyce Thompson Institute,,210,2,biotech_main,,,,
Boyce Thompson Institute,,212,2,biotech_main,,,,
Boyce Thompson Institute,,218,2,biotech_main,,,,
Boyce Thompson Institute,,202,2,biotech_main,,,,
Boyce Thompson Institute,,302,3,biotech_main,,,,
Boyce Thompson Institute,,304,3,biotech_main,,,,
Boyce Thompson Institute,,310,3,biotech_main,,,,
Boyce Thompson Institute,,312,3,biotech_main,,,,
Boyce Thompson Institute,,316,3,biotech_main,,,,
Boyce Thompson Institute,,318,3,biotech_main,,,,
Boyce Thompson Institute,,324,3,biotech_main,,,,
Boyce Thompson Institute,,326,3,biotech_main,,,,
Boyce Thompson Institute,,402,4,biotech_main,,,,
Boyce Thompson Institute,,404,4,biotech_main,,,,
Boyce Thompson Institute,,406,4,biotech_main,,,,
Boyce Thompson Institute,,410,4,biotech_main,,,,
Boyce Thompson Institute,,412,4,biotech_main,,,,
Boyce Thompson Institute,,418,4,biotech_main,,,,
Boyce Thompson Institute,,418,4,biotech_main,,,,
Boyce Thompson Institute,,420,4,biotech_main,,,,
Boyce Thompson Institute,,422,4,biotech_main,,,,
Boyce Thompson Institute,,424,4,biotech_main,,,,
Boyce Thompson Institute,,426,4,biotech_main,,,,
Boyce Thompson Institute,,158,1,biotech_main,,,,
