building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Bradfield Hall,,1003,1,biotech_main,,,,
Bradfield Hall,,1006A,1,biotech_main,,,,
Bradfield Hall,,1012,1,biotech_main,,,,
Bradfield Hall,,102,1,biotech_main,,,,
Bradfield Hall,,1020,1,biotech_main,,,,
Bradfield Hall,,1024,1,biotech_main,,,,
Bradfield Hall,,202,2,biotech_main,,,,
Bradfield Hall,,205,2,biotech_main,,,,
Bradfield Hall,,212,2,biotech_main,,,,
Bradfield Hall,,213A,2,biotech_main,,,,
Bradfield Hall,,220,2,biotech_main,,,,
Bradfield Hall,,224A,2,biotech_main,,,,
Bradfield Hall,,301,3,biotech_main,,,,
Bradfield Hall,,303A,3,biotech_main,,,,
Bradfield Hall,,305,3,biotech_main,,,,
Bradfield Hall,,306,3,biotech_main,,,,
Bradfield Hall,,311,3,biotech_main,,,,
Bradfield Hall,,506A,5,biotech_main,,,,
Bradfield Hall,,315,3,biotech_main,,,,
Bradfield Hall,,405A,4,biotech_main,,,,
Bradfield Hall,,412A,4,biotech_main,,,,
Bradfield Hall,,414,4,biotech_main,,,,
Bradfield Hall,,414,4,biotech_main,,,,
Bradfield Hall,,415,4,biotech_main,,,,
Bradfield Hall,,502,5,biotech_main,,,,
Bradfield Hall,,511,5,biotech_main,,,,
Bradfield Hall,,516,5,biotech_main,,,,
Bradfield Hall,,517,5,biotech_main,,,,
Bradfield Hall,,523,5,biotech_main,,,,
Bradfield Hall,,613,6,biotech_main,,,,
Bradfield Hall,,614,6,biotech_main,,,,
Bradfield Hall,,615,6,biotech_main,,,,
Bradfield Hall,,618,6,biotech_main,,,,
Bradfield Hall,,623,6,biotech_main,,,,
Bradfield Hall,,703,7,biotech_main,,,,
Bradfield Hall,,704,7,biotech_main,,,,
Bradfield Hall,,710,7,biotech_main,,,,
Bradfield Hall,,713,7,biotech_main,,,,
Bradfield Hall,,801,8,biotech_main,,,,
Bradfield Hall,,802,8,biotech_main,,,,
Bradfield Hall,,805,8,biotech_main,,,,
Bradfield Hall,,809,8,biotech_main,,,,
Bradfield Hall,,809,8,biotech_main,,,,
Bradfield Hall,,811,8,biotech_main,,,,
Bradfield Hall,,815,8,biotech_main,,,,
Bradfield Hall,,820,8,biotech_main,,,,
Bradfield Hall,,820,8,biotech_main,,,,
Bradfield Hall,,822,8,biotech_main,,,,
Bradfield Hall,,901,9,biotech_main,,,,
Bradfield Hall,,902,9,biotech_main,,,,
Bradfield Hall,,911,9,biotech_main,,,,
Bradfield Hall,,913,9,biotech_main,,,,
Bradfield Hall,,914,9,biotech_main,,,,
Bradfield Hall,,916,9,biotech_main,,,,
Bradfield Hall,,B04,B,biotech_main,,,,
Bradfield Hall,,211A,2,biotech_main,,,,
Bradfield Hall,,B07,B,biotech_main,,,,
Bradfield Hall,,G18,G,biotech_main,,,,
Bradfield Hall,,G19,G,biotech_main,,,,
Bradfield Hall,,Lab  207,L,biotech_main,,,,
Bradfield Hall,,506B,5,biotech_main,,,,
Bradfield Hall,,514D,5,biotech_main,,,,
