building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Brown Rd 95 #6 Langmuir Lab,,179,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,179,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,180,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,180,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,183B,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,275,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,186,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,187,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,189,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,152A,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,270,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,277,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,279,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,274,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,276,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,284,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,285,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,285,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,285,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,286A,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,282,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,272,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,283,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,283,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,252,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,288,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,171,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,170,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,266,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,,266,2,biotech_main,,,,
