building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Clark Hall,,150,1,biotech_main,,,,
Clark Hall,,159A,1,biotech_main,,,,
Clark Hall,,179,1,biotech_main,,,,
Clark Hall,,179,1,biotech_main,,,,
Clark Hall,,185,1,biotech_main,,,,
Clark Hall,,188,1,biotech_main,,,,
Clark Hall,,BC08,B,biotech_main,,,,
Clark Hall,,BC13,B,biotech_main,,,,
Clark Hall,,308D,3,biotech_main,,,,
Clark Hall,,BA02,B,biotech_main,,,,
Clark Hall,,BB06,B,biotech_main,,,,
Clark Hall,,BC05,B,biotech_main,,,,
Clark Hall,,BD12C,B,biotech_main,,,,
Clark Hall,,BD21E,B,biotech_main,,,,
Clark Hall,,BE02,B,biotech_main,,,,
Clark Hall,,BF11,B,biotech_main,,,,
Clark Hall,,BF11,B,biotech_main,,,,
Clark Hall,,BBF14,B,biotech_main,,,,
Clark Hall,,BG15,B,biotech_main,,,,
Clark Hall,,BG7A,B,biotech_main,,,,
Clark Hall,,BH02,B,biotech_main,,,,
Clark Hall,,BH07,B,biotech_main,,,,
