building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Comstock Hall,,1104,1,biotech_main,,,,
Comstock Hall,,1105A,1,biotech_main,,,,
Comstock Hall,,1108,1,biotech_main,,,,
Comstock Hall,,1112,1,biotech_main,,,,
Comstock Hall,,1116,1,biotech_main,,,,
Comstock Hall,,1120,1,biotech_main,,,,
Comstock Hall,,2111,2,biotech_main,,,,
Comstock Hall,,3119,3,biotech_main,,,,
Comstock Hall,,3131A,3,biotech_main,,,,
Comstock Hall,,6129A,6,biotech_main,,,,
Comstock Hall,,4129,4,biotech_main,,,,
Comstock Hall,,4131,4,biotech_main,,,,
Comstock Hall,,4133,4,biotech_main,,,,
Comstock Hall,,5129,5,biotech_main,,,,
Comstock Hall,,6119,6,biotech_main,,,,
Comstock Hall,,6129,6,biotech_main,,,,
Comstock Hall,,6129,6,biotech_main,,,,
Comstock Hall,,6129,6,biotech_main,,,,
Comstock Hall,,B145,B,biotech_main,,,,
Comstock Hall,,B149,B,biotech_main,,,,
Comstock Hall,,5123,5,biotech_main,,,,
Comstock Hall,,5121A,5,biotech_main,,,,
Comstock Hall,,5123,5,biotech_main,,,,
Comstock Hall,,2144B,2,biotech_main,,,,
