building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Dale R Corson Hall,,E205,E,biotech_main,,,,
Dale R Corson Hall,,E212,E,biotech_main,,,,
Dale R Corson Hall,,E240,E,biotech_main,,,,
Dale R Corson Hall,,E245,E,biotech_main,,,,
Dale R Corson Hall,,E248B,E,biotech_main,,,,
Dale R Corson Hall,,E304B,E,biotech_main,,,,
Dale R Corson Hall,,E310,E,biotech_main,,,,
Dale R Corson Hall,,E310,E,biotech_main,,,,
Dale R Corson Hall,,E331,E,biotech_main,,,,
Dale R Corson Hall,,E334,E,biotech_main,,,,
Dale R Corson Hall,,E340,E,biotech_main,,,,
Dale R Corson Hall,,E405,E,biotech_main,,,,
Dale R Corson Hall,,E419,E,biotech_main,,,,
Dale R Corson Hall,,E446,E,biotech_main,,,,
Dale R Corson Hall,,E450,E,biotech_main,,,,
Dale R Corson Hall,,E429,E,biotech_main,,,,
Dale R Corson Hall,,E439,E,biotech_main,,,,
Dale R Corson Hall,,E206,E,biotech_main,,,,
Dale R Corson Hall,,142,1,biotech_main,,,,
Dale R Corson Hall,,344,3,biotech_main,,,,
