building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Duffield Hall,,116,1,biotech_main,,,,
Duffield Hall,,116,1,biotech_main,,,,
Duffield Hall,,119,1,biotech_main,,,,
Duffield Hall,,125,1,biotech_main,,,,
Duffield Hall,,125,1,biotech_main,,,,
Duffield Hall,,202,2,biotech_main,,,,
Duffield Hall,,207,2,biotech_main,,,,
Duffield Hall,,209,2,biotech_main,,,,
Duffield Hall,,209,2,biotech_main,,,,
Duffield Hall,,212,2,biotech_main,,,,
Duffield Hall,,212,2,biotech_main,,,,
Duffield Hall,,213,2,biotech_main,,,,
Duffield Hall,,213,2,biotech_main,,,,
Duffield Hall,,213,2,biotech_main,,,,
Duffield Hall,,216,2,biotech_main,,,,
Duffield Hall,,224,2,biotech_main,,,,
Duffield Hall,,224,2,biotech_main,,,,
Duffield Hall,,227,2,biotech_main,,,,
Duffield Hall,,227,2,biotech_main,,,,
Duffield Hall,,227,2,biotech_main,,,,
Duffield Hall,,231,2,biotech_main,,,,
Duffield Hall,,231,2,biotech_main,,,,
Duffield Hall,,234,2,biotech_main,,,,
Duffield Hall,,234,2,biotech_main,,,,
Duffield Hall,,238,2,biotech_main,,,,
Duffield Hall,,300,3,biotech_main,,,,
Duffield Hall,,324,3,biotech_main,,,,
Duffield Hall,,327,3,biotech_main,,,,
Duffield Hall,,327,3,biotech_main,,,,
Duffield Hall,,331,3,biotech_main,,,,
Duffield Hall,,331,3,biotech_main,,,,
Duffield Hall,,331,3,biotech_main,,,,
Duffield Hall,,SVC,S,biotech_main,,,,
Duffield Hall,,208,2,biotech_main,,,,
Duffield Hall,,328,3,biotech_main,,,,
Duffield Hall,,328,3,biotech_main,,,,
Duffield Hall,,330,3,biotech_main,,,,
