building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Emerson Hall,,142,1,biotech_main,,,,
Emerson Hall,,144,1,biotech_main,,,,
Emerson Hall,,146,1,biotech_main,,,,
Emerson Hall,,146B,1,biotech_main,,,,
Emerson Hall,,245,2,biotech_main,,,,
Emerson Hall,,263,2,biotech_main,,,,
Emerson Hall,,263,2,biotech_main,,,,
Emerson Hall,,334,3,biotech_main,,,,
Emerson Hall,,336,3,biotech_main,,,,
Emerson Hall,,336,3,biotech_main,,,,
Emerson Hall,,341,3,biotech_main,,,,
Emerson Hall,,347,3,biotech_main,,,,
Emerson Hall,,G34,G,biotech_main,,,,
Emerson Hall,,G34,G,biotech_main,,,,
Emerson Hall,,G35,G,biotech_main,,,,
Emerson Hall,,G47,G,biotech_main,,,,
Emerson Hall,,G50A,G,biotech_main,,,,
Emerson Hall,,G51,G,biotech_main,,,,
Emerson Hall,,334,3,biotech_main,,,,
Emerson Hall,,G40,G,biotech_main,,,,
