building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Gnva Barton Laboratory,,012,0,biotech_main,,,,
Gnva Barton Laboratory,,020,0,biotech_main,,,,
Gnva Barton Laboratory,,035,0,biotech_main,,,,
Gnva Barton Laboratory,,043,0,biotech_main,,,,
Gnva Barton Laboratory,,111,1,biotech_main,,,,
Gnva Barton Laboratory,,117,1,biotech_main,,,,
Gnva Barton Laboratory,,206,2,biotech_main,,,,
Gnva Barton Laboratory,,207,2,biotech_main,,,,
Gnva Barton Laboratory,,210,2,biotech_main,,,,
Gnva Barton Laboratory,,215,2,biotech_main,,,,
Gnva Barton Laboratory,,216,2,biotech_main,,,,
Gnva Barton Laboratory,,218,2,biotech_main,,,,
Gnva Barton Laboratory,,309,3,biotech_main,,,,
Gnva Barton Laboratory,,319,3,biotech_main,,,,
Gnva Barton Laboratory,,321,3,biotech_main,,,,
Gnva Barton Laboratory,,322,3,biotech_main,,,,
Gnva Barton Laboratory,,409,4,biotech_main,,,,
Gnva Barton Laboratory,,411,4,biotech_main,,,,
Gnva Barton Laboratory,,421,4,biotech_main,,,,
Gnva Barton Laboratory,,510,5,biotech_main,,,,
Gnva Barton Laboratory,,520,5,biotech_main,,,,
Gnva Barton Laboratory,,611,6,biotech_main,,,,
Gnva Barton Laboratory,,611,6,biotech_main,,,,
Gnva Barton Laboratory,,611,6,biotech_main,,,,
Gnva Barton Laboratory,,3,3,biotech_main,,,,
Gnva Barton Laboratory,,622,6,biotech_main,,,,
Gnva Barton Laboratory,,622,6,biotech_main,,,,
Gnva Barton Laboratory,,626,6,biotech_main,,,,
