building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Gnva Food Research Laboratory,,103,1,biotech_main,,,,
Gnva Food Research Laboratory,,104,1,biotech_main,,,,
Gnva Food Research Laboratory,,109,1,biotech_main,,,,
Gnva Food Research Laboratory,,110,1,biotech_main,,,,
Gnva Food Research Laboratory,,115,1,biotech_main,,,,
Gnva Food Research Laboratory,,116,1,biotech_main,,,,
Gnva Food Research Laboratory,,121,1,biotech_main,,,,
Gnva Food Research Laboratory,,128,1,biotech_main,,,,
Gnva Food Research Laboratory,,129,1,biotech_main,,,,
Gnva Food Research Laboratory,,134,1,biotech_main,,,,
Gnva Food Research Laboratory,,135,1,biotech_main,,,,
Gnva Food Research Laboratory,,135,1,biotech_main,,,,
Gnva Food Research Laboratory,,147,1,biotech_main,,,,
Gnva Food Research Laboratory,,158,1,biotech_main,,,,
Gnva Food Research Laboratory,,203,2,biotech_main,,,,
Gnva Food Research Laboratory,,204,2,biotech_main,,,,
Gnva Food Research Laboratory,,205,2,biotech_main,,,,
Gnva Food Research Laboratory,,209,2,biotech_main,,,,
Gnva Food Research Laboratory,,209,2,biotech_main,,,,
Gnva Food Research Laboratory,,209,2,biotech_main,,,,
Gnva Food Research Laboratory,,210,2,biotech_main,,,,
Gnva Food Research Laboratory,,213,2,biotech_main,,,,
Gnva Food Research Laboratory,,6,6,biotech_main,,,,
Gnva Food Research Laboratory,,223,2,biotech_main,,,,
Gnva Food Research Laboratory,,229,2,biotech_main,,,,
Gnva Food Research Laboratory,,230,2,biotech_main,,,,
Gnva Food Research Laboratory,,232,2,biotech_main,,,,
Gnva Food Research Laboratory,,235,2,biotech_main,,,,
Gnva Food Research Laboratory,,238,2,biotech_main,,,,
Gnva Food Research Laboratory,,249,2,biotech_main,,,,
Gnva Food Research Laboratory,,G25,G,biotech_main,,,,
