building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Gnva Hedrick Hall,,119,1,biotech_main,,,,
Gnva Hedrick Hall,,207,2,biotech_main,,,,
Gnva Hedrick Hall,,208-E,2,biotech_main,,,,
Gnva Hedrick Hall,,208,2,biotech_main,,,,
Gnva Hedrick Hall,,222,2,biotech_main,,,,
Gnva Hedrick Hall,,223,2,biotech_main,,,,
Gnva Hedrick Hall,,224,2,biotech_main,,,,
Gnva Hedrick Hall,,225,2,biotech_main,,,,
Gnva Hedrick Hall,,305,3,biotech_main,,,,
Gnva Hedrick Hall,,316,3,biotech_main,,,,
Gnva Hedrick Hall,,G13,G,biotech_main,,,,
