building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Guterman Bioclimatic Lb,,101,1,biotech_main,,,,
Guterman Bioclimatic Lb,,101,1,biotech_main,,,,
Guterman Bioclimatic Lb,,105,1,biotech_main,,,,
Guterman Bioclimatic Lb,,112,1,biotech_main,,,,
Guterman Bioclimatic Lb,,112,1,biotech_main,,,,
Guterman Bioclimatic Lb,,113,1,biotech_main,,,,
Guterman Bioclimatic Lb,,115,1,biotech_main,,,,
Guterman Bioclimatic Lb,,121,1,biotech_main,,,,
Guterman Bioclimatic Lb,,122,1,biotech_main,,,,
Guterman Bioclimatic Lb,,127,1,biotech_main,,,,
Guterman Bioclimatic Lb,,130,1,biotech_main,,,,
