building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Hollister Hall,,150,1,biotech_main,,,,
Hollister Hall,,150,1,biotech_main,,,,
Hollister Hall,,251,2,biotech_main,,,,
Hollister Hall,,252,2,biotech_main,,,,
Hollister Hall,,252,2,biotech_main,,,,
Hollister Hall,,252,2,biotech_main,,,,
Hollister Hall,,B52,B,biotech_main,,,,
Hollister Hall,,160,1,biotech_main,,,,
Hollister Hall,,160,1,biotech_main,,,,
Hollister Hall,,Environmetal Lab,E,biotech_main,,,,
Hollister Hall,,Environmetal Lab,E,biotech_main,,,,
Hollister Hall,,Environmetal Lab,E,biotech_main,,,,
