building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Kimball Hall,,174A,1,biotech_main,,,,
Kimball Hall,,290K,2,biotech_main,,,,
Kimball Hall,,290J,2,biotech_main,,,,
Kimball Hall,,177,1,biotech_main,,,,
Kimball Hall,,177,1,biotech_main,,,,
Kimball Hall,,290F,2,biotech_main,,,,
Kimball Hall,,290F,2,biotech_main,,,,
Kimball Hall,,390K,3,biotech_main,,,,
Kimball Hall,,390K,3,biotech_main,,,,
Kimball Hall,,390F,3,biotech_main,,,,
Kimball Hall,,390F,3,biotech_main,,,,
Kimball Hall,,290J,2,biotech_main,,,,
Kimball Hall,,290G,2,biotech_main,,,,
Kimball Hall,,290G,2,biotech_main,,,,
