building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Kinzelberg Hall,,134,1,biotech_main,,,,
Kinzelberg Hall,,135,1,biotech_main,,,,
Kinzelberg Hall,,138,1,biotech_main,,,,
Kinzelberg Hall,,138,1,biotech_main,,,,
Kinzelberg Hall,,139,1,biotech_main,,,,
Kinzelberg Hall,,139,1,biotech_main,,,,
Kinzelberg Hall,,140,1,biotech_main,,,,
Kinzelberg Hall,,141,1,biotech_main,,,,
Kinzelberg Hall,,144,1,biotech_main,,,,
Kinzelberg Hall,,145,1,biotech_main,,,,
Kinzelberg Hall,,234,2,biotech_main,,,,
Kinzelberg Hall,,235,2,biotech_main,,,,
Kinzelberg Hall,,235,2,biotech_main,,,,
Kinzelberg Hall,,238,2,biotech_main,,,,
Kinzelberg Hall,,238,2,biotech_main,,,,
Kinzelberg Hall,,239,2,biotech_main,,,,
Kinzelberg Hall,,239,2,biotech_main,,,,
Kinzelberg Hall,,240,2,biotech_main,,,,
Kinzelberg Hall,,241,2,biotech_main,,,,
Kinzelberg Hall,,245,2,biotech_main,,,,
Kinzelberg Hall,,245,2,biotech_main,,,,
Kinzelberg Hall,,334,3,biotech_main,,,,
Kinzelberg Hall,,335,3,biotech_main,,,,
Kinzelberg Hall,,338,3,biotech_main,,,,
Kinzelberg Hall,,338,3,biotech_main,,,,
Kinzelberg Hall,,339,3,biotech_main,,,,
Kinzelberg Hall,,339,3,biotech_main,,,,
Kinzelberg Hall,,340,3,biotech_main,,,,
Kinzelberg Hall,,340,3,biotech_main,,,,
Kinzelberg Hall,,341,3,biotech_main,,,,
Kinzelberg Hall,,341,3,biotech_main,,,,
Kinzelberg Hall,,344,3,biotech_main,,,,
Kinzelberg Hall,,345,3,biotech_main,,,,
