building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Morrison Hall,,210,2,biotech_main,,,,
Morrison Hall,,209,2,biotech_main,,,,
Morrison Hall,,221,2,biotech_main,,,,
Morrison Hall,,230,2,biotech_main,,,,
Morrison Hall,,244,2,biotech_main,,,,
Morrison Hall,,246,2,biotech_main,,,,
Morrison Hall,,246,2,biotech_main,,,,
Morrison Hall,,271,2,biotech_main,,,,
Morrison Hall,,271,2,biotech_main,,,,
Morrison Hall,,280,2,biotech_main,,,,
Morrison Hall,,280,2,biotech_main,,,,
Morrison Hall,,280,2,biotech_main,,,,
Morrison Hall,,280,2,biotech_main,,,,
Morrison Hall,,287,2,biotech_main,,,,
Morrison Hall,,288,2,biotech_main,,,,
Morrison Hall,,288,2,biotech_main,,,,
Morrison Hall,,288,2,biotech_main,,,,
Morrison Hall,,288-04,2,biotech_main,,,,
Morrison Hall,,289,2,biotech_main,,,,
Morrison Hall,,289,2,biotech_main,,,,
Morrison Hall,,293,2,biotech_main,,,,
Morrison Hall,,295,2,biotech_main,,,,
Morrison Hall,,295,2,biotech_main,,,,
Morrison Hall,,295,2,biotech_main,,,,
Morrison Hall,,301,3,biotech_main,,,,
Morrison Hall,,303,3,biotech_main,,,,
Morrison Hall,,303,3,biotech_main,,,,
Morrison Hall,,304,3,biotech_main,,,,
Morrison Hall,,305,3,biotech_main,,,,
Morrison Hall,,306,3,biotech_main,,,,
Morrison Hall,,306,3,biotech_main,,,,
Morrison Hall,,314,3,biotech_main,,,,
Morrison Hall,,314,3,biotech_main,,,,
Morrison Hall,,421,4,biotech_main,,,,
Morrison Hall,,431,4,biotech_main,,,,
Morrison Hall,,433,4,biotech_main,,,,
Morrison Hall,,433,4,biotech_main,,,,
Morrison Hall,,437,4,biotech_main,,,,
Morrison Hall,,443A,4,biotech_main,,,,
Morrison Hall,,443A,4,biotech_main,,,,
Morrison Hall,,443A,4,biotech_main,,,,
Morrison Hall,,443B,4,biotech_main,,,,
Morrison Hall,,B65,B,biotech_main,,,,
Morrison Hall,,Lab B61A,L,biotech_main,,,,
Morrison Hall,,Lab B61A,L,biotech_main,,,,
Morrison Hall,,Lab B68A,L,biotech_main,,,,
Morrison Hall,,Lab B68A,L,biotech_main,,,,
Morrison Hall,,402,4,biotech_main,,,,
Morrison Hall,,409,4,biotech_main,,,,
