building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
NYS Veterinary Diagnostic Lab,,A3248,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A3111A,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A2237B,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A2237,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A2337,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A2337,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A2337,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A2111D,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A1133,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A1111-03,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A1111-02,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A1111-01,A,biotech_main,,,,
NYS Veterinary Diagnostic Lab,,A1109,A,biotech_main,,,,
