building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Olin Hall,,101,1,biotech_main,,,,
Olin Hall,,102,1,biotech_main,,,,
Olin Hall,,103,1,biotech_main,,,,
Olin Hall,,104,1,biotech_main,,,,
Olin Hall,,105,1,biotech_main,,,,
Olin Hall,,106,1,biotech_main,,,,
Olin Hall,,107,1,biotech_main,,,,
Olin Hall,,108,1,biotech_main,,,,
Olin Hall,,110,1,biotech_main,,,,
Olin Hall,,111,1,biotech_main,,,,
Olin Hall,,202,2,biotech_main,,,,
Olin Hall,,203,2,biotech_main,,,,
Olin Hall,,204,2,biotech_main,,,,
Olin Hall,,205,2,biotech_main,,,,
Olin Hall,,207,2,biotech_main,,,,
Olin Hall,,209,2,biotech_main,,,,
Olin Hall,,210,2,biotech_main,,,,
Olin Hall,,211,2,biotech_main,,,,
Olin Hall,,212,2,biotech_main,,,,
Olin Hall,,230,2,biotech_main,,,,
Olin Hall,,301,3,biotech_main,,,,
Olin Hall,,302,3,biotech_main,,,,
Olin Hall,,303,3,biotech_main,,,,
Olin Hall,,304,3,biotech_main,,,,
Olin Hall,,305,3,biotech_main,,,,
Olin Hall,,305,3,biotech_main,,,,
Olin Hall,,306,3,biotech_main,,,,
Olin Hall,,307,3,biotech_main,,,,
Olin Hall,,308,3,biotech_main,,,,
Olin Hall,,309,3,biotech_main,,,,
Olin Hall,,310,3,biotech_main,,,,
Olin Hall,,311,3,biotech_main,,,,
Olin Hall,,344,3,biotech_main,,,,
Olin Hall,,B01,B,biotech_main,,,,
Olin Hall,,B02,B,biotech_main,,,,
Olin Hall,,B05,B,biotech_main,,,,
Olin Hall,,B05,B,biotech_main,,,,
Olin Hall,,B04-N,B,biotech_main,,,,
Olin Hall,,B04-N,B,biotech_main,,,,
Olin Hall,,B06,B,biotech_main,,,,
Olin Hall,,107,1,biotech_main,,,,
Olin Hall,,267,2,biotech_main,,,,
Olin Hall,,267,2,biotech_main,,,,
Olin Hall,,267,2,biotech_main,,,,
Olin Hall,,267,2,biotech_main,,,,
Olin Hall,,267,2,biotech_main,,,,
Olin Hall,,267,2,biotech_main,,,,
Olin Hall,,276D,2,biotech_main,,,,
Olin Hall,,276D,2,biotech_main,,,,
Olin Hall,,367,3,biotech_main,,,,
Olin Hall,,367,3,biotech_main,,,,
Olin Hall,,367,3,biotech_main,,,,
Olin Hall,,367D,3,biotech_main,,,,
Olin Hall,,367F,3,biotech_main,,,,
Olin Hall,,B01,B,biotech_main,,,,
