building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,111,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,101,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,105,1,biotech_main,,,,
Physical Sciences Building,,104,1,biotech_main,,,,
Physical Sciences Building,,104A,1,biotech_main,,,,
Physical Sciences Building,,104C,1,biotech_main,,,,
Physical Sciences Building,,122,1,biotech_main,,,,
Physical Sciences Building,,125,1,biotech_main,,,,
Physical Sciences Building,,127,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,115,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,118,1,biotech_main,,,,
Physical Sciences Building,,G02,G,biotech_main,,,,
Physical Sciences Building,,G10,G,biotech_main,,,,
Physical Sciences Building,,G14,G,biotech_main,,,,
Physical Sciences Building,,G35,G,biotech_main,,,,
Physical Sciences Building,,G41,G,biotech_main,,,,
Physical Sciences Building,,G48,G,biotech_main,,,,
Physical Sciences Building,,G54,G,biotech_main,,,,
Physical Sciences Building,,G61,G,biotech_main,,,,
Physical Sciences Building,,G65,G,biotech_main,,,,
Physical Sciences Building,,B21,B,biotech_main,,,,
Physical Sciences Building,,B29,B,biotech_main,,,,
Physical Sciences Building,,B34A,B,biotech_main,,,,
Physical Sciences Building,,B35,B,biotech_main,,,,
Physical Sciences Building,,B62,B,biotech_main,,,,
Physical Sciences Building,,B63,B,biotech_main,,,,
Physical Sciences Building,,B74,B,biotech_main,,,,
Physical Sciences Building,,B75,B,biotech_main,,,,
Physical Sciences Building,,B93,B,biotech_main,,,,
Physical Sciences Building,,292A,2,biotech_main,,,,
Physical Sciences Building,,292A,2,biotech_main,,,,
Physical Sciences Building,,296A,2,biotech_main,,,,
Physical Sciences Building,,296A,2,biotech_main,,,,
Physical Sciences Building,,286B,2,biotech_main,,,,
Physical Sciences Building,,286B,2,biotech_main,,,,
Physical Sciences Building,,284A,2,biotech_main,,,,
Physical Sciences Building,,284A,2,biotech_main,,,,
Physical Sciences Building,,264A,2,biotech_main,,,,
Physical Sciences Building,,264A,2,biotech_main,,,,
Physical Sciences Building,,264A,2,biotech_main,,,,
Physical Sciences Building,,264A,2,biotech_main,,,,
Physical Sciences Building,,262A,2,biotech_main,,,,
Physical Sciences Building,,262A,2,biotech_main,,,,
Physical Sciences Building,,262A,2,biotech_main,,,,
Physical Sciences Building,,262A,2,biotech_main,,,,
Physical Sciences Building,,250A,2,biotech_main,,,,
Physical Sciences Building,,250A,2,biotech_main,,,,
Physical Sciences Building,,250A,2,biotech_main,,,,
Physical Sciences Building,,250A,2,biotech_main,,,,
Physical Sciences Building,,240B,2,biotech_main,,,,
Physical Sciences Building,,240B,2,biotech_main,,,,
Physical Sciences Building,,240B,2,biotech_main,,,,
Physical Sciences Building,,240B,2,biotech_main,,,,
Physical Sciences Building,,235,2,biotech_main,,,,
Physical Sciences Building,,232A,2,biotech_main,,,,
Physical Sciences Building,,232A,2,biotech_main,,,,
Physical Sciences Building,,220A,2,biotech_main,,,,
Physical Sciences Building,,220A,2,biotech_main,,,,
Physical Sciences Building,,230A,2,biotech_main,,,,
Physical Sciences Building,,230A,2,biotech_main,,,,
Physical Sciences Building,,260,2,biotech_main,,,,
Physical Sciences Building,,273,2,biotech_main,,,,
Physical Sciences Building,,236A,2,biotech_main,,,,
Physical Sciences Building,,236A,2,biotech_main,,,,
Physical Sciences Building,,202A,2,biotech_main,,,,
Physical Sciences Building,,202A,2,biotech_main,,,,
Physical Sciences Building,,279,2,biotech_main,,,,
Physical Sciences Building,,G41,G,biotech_main,,,,
Physical Sciences Building,,364A,3,biotech_main,,,,
Physical Sciences Building,,364A,3,biotech_main,,,,
Physical Sciences Building,,364A,3,biotech_main,,,,
Physical Sciences Building,,379,3,biotech_main,,,,
Physical Sciences Building,,337,3,biotech_main,,,,
Physical Sciences Building,,231,2,biotech_main,,,,
Physical Sciences Building,,270,2,biotech_main,,,,
Physical Sciences Building,,B32A,B,biotech_main,,,,
Physical Sciences Building,,279,2,biotech_main,,,,
Physical Sciences Building,,B87,B,biotech_main,,,,
Physical Sciences Building,,277,2,biotech_main,,,,
