building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Plant Science Building,,105,1,biotech_main,,,,
Plant Science Building,,123E,1,biotech_main,,,,
Plant Science Building,,144,1,biotech_main,,,,
Plant Science Building,,146,1,biotech_main,,,,
Plant Science Building,,147,1,biotech_main,,,,
Plant Science Building,,202,2,biotech_main,,,,
Plant Science Building,,203-H,2,biotech_main,,,,
Plant Science Building,,207,2,biotech_main,,,,
Plant Science Building,,227,2,biotech_main,,,,
Plant Science Building,,230,2,biotech_main,,,,
Plant Science Building,,239A,2,biotech_main,,,,
Plant Science Building,,240,2,biotech_main,,,,
Plant Science Building,,242B-H,2,biotech_main,,,,
Plant Science Building,,250,2,biotech_main,,,,
Plant Science Building,,253,2,biotech_main,,,,
Plant Science Building,,262-E,2,biotech_main,,,,
Plant Science Building,,262-W,2,biotech_main,,,,
Plant Science Building,,302,3,biotech_main,,,,
Plant Science Building,,304-01,3,biotech_main,,,,
Plant Science Building,,341A,3,biotech_main,,,,
Plant Science Building,,344,3,biotech_main,,,,
Plant Science Building,,353,3,biotech_main,,,,
Plant Science Building,,401-H,4,biotech_main,,,,
Plant Science Building,,405-H,4,biotech_main,,,,
Plant Science Building,,413-H,4,biotech_main,,,,
Plant Science Building,,427-H,4,biotech_main,,,,
Plant Science Building,,430,4,biotech_main,,,,
Plant Science Building,,433,4,biotech_main,,,,
Plant Science Building,,434-H,4,biotech_main,,,,
Plant Science Building,,G021B,G,biotech_main,,,,
Plant Science Building,,G040,G,biotech_main,,,,
Plant Science Building,,G041,G,biotech_main,,,,
Plant Science Building,,211,2,biotech_main,,,,
Plant Science Building,,Lab  303F,L,biotech_main,,,,
Plant Science Building,,Lab  303F,L,biotech_main,,,,
Plant Science Building,,102B,1,biotech_main,,,,
Plant Science Building,,G09,G,biotech_main,,,,
