building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Riley-Robb Hall,,140,1,biotech_main,,,,
Riley-Robb Hall,,141,1,biotech_main,,,,
Riley-Robb Hall,,141,1,biotech_main,,,,
Riley-Robb Hall,,144,1,biotech_main,,,,
Riley-Robb Hall,,145,1,biotech_main,,,,
Riley-Robb Hall,,145,1,biotech_main,,,,
Riley-Robb Hall,,149,1,biotech_main,,,,
Riley-Robb Hall,,149,1,biotech_main,,,,
Riley-Robb Hall,,153,1,biotech_main,,,,
Riley-Robb Hall,,153,1,biotech_main,,,,
Riley-Robb Hall,,246,2,biotech_main,,,,
Riley-Robb Hall,,158,1,biotech_main,,,,
Riley-Robb Hall,,170,1,biotech_main,,,,
Riley-Robb Hall,,171,1,biotech_main,,,,
Riley-Robb Hall,,174,1,biotech_main,,,,
Riley-Robb Hall,,174,1,biotech_main,,,,
Riley-Robb Hall,,B40,B,biotech_main,,,,
Riley-Robb Hall,,B44,B,biotech_main,,,,
Riley-Robb Hall,,B45,B,biotech_main,,,,
Riley-Robb Hall,,B45,B,biotech_main,,,,
Riley-Robb Hall,,B49,B,biotech_main,,,,
Riley-Robb Hall,,B49,B,biotech_main,,,,
Riley-Robb Hall,,B53,B,biotech_main,,,,
Riley-Robb Hall,,B53,B,biotech_main,,,,
Riley-Robb Hall,,B56,B,biotech_main,,,,
Riley-Robb Hall,,B58,B,biotech_main,,,,
Riley-Robb Hall,,246,2,biotech_main,,,,
Riley-Robb Hall,,B78,B,biotech_main,,,,
Riley-Robb Hall,,Lab B74,L,biotech_main,,,,
Riley-Robb Hall,,Lab B74,L,biotech_main,,,,
Riley-Robb Hall,,Lab B80,L,biotech_main,,,,
Riley-Robb Hall,,Lab B77,L,biotech_main,,,,
Riley-Robb Hall,,Lab B85,L,biotech_main,,,,
Riley-Robb Hall,,Lab B85,L,biotech_main,,,,
Riley-Robb Hall,,B68,B,biotech_main,,,,
Riley-Robb Hall,,Lab B71,L,biotech_main,,,,
Riley-Robb Hall,,Lab B71,L,biotech_main,,,,
Riley-Robb Hall,,Lab B73,L,biotech_main,,,,
Riley-Robb Hall,,Lab B73,L,biotech_main,,,,
Riley-Robb Hall,,B68,B,biotech_main,,,,
Riley-Robb Hall,,B80,B,biotech_main,,,,
