building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Robert W Holley Ctr Ag Health,,101,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,,105,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,,135,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,,138,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,,139,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,,1A,1,biotech_main,,,,
Robert W Holley Ctr Ag Health,,201,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,,204,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,,205H,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,,213,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,,228,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,,229,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,,235,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,,238,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,,239,2,biotech_main,,,,
Robert W Holley Ctr Ag Health,,303,3,biotech_main,,,,
Robert W Holley Ctr Ag Health,,335,3,biotech_main,,,,
Robert W Holley Ctr Ag Health,,339,3,biotech_main,,,,
Robert W Holley Ctr Ag Health,,G-13,G,biotech_main,,,,
