building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
ST Olin,,162,1,biotech_main,,,,
ST Olin,,162,1,biotech_main,,,,
ST Olin,,165,1,biotech_main,,,,
ST Olin,,170,1,biotech_main,,,,
ST Olin,,170,1,biotech_main,,,,
ST Olin,,172,1,biotech_main,,,,
ST Olin,,172,1,biotech_main,,,,
ST Olin,,178,1,biotech_main,,,,
ST Olin,,178,1,biotech_main,,,,
ST Olin,,178,1,biotech_main,,,,
ST Olin,,262,2,biotech_main,,,,
ST Olin,,263,2,biotech_main,,,,
ST Olin,,278,2,biotech_main,,,,
ST Olin,,372,3,biotech_main,,,,
ST Olin,,372,3,biotech_main,,,,
ST Olin,,372,3,biotech_main,,,,
ST Olin,,462,4,biotech_main,,,,
ST Olin,,462,4,biotech_main,,,,
ST Olin,,462,4,biotech_main,,,,
ST Olin,,463,4,biotech_main,,,,
ST Olin,,470,4,biotech_main,,,,
ST Olin,,470,4,biotech_main,,,,
ST Olin,,470,4,biotech_main,,,,
ST Olin,,471,4,biotech_main,,,,
ST Olin,,471,4,biotech_main,,,,
ST Olin,,471,4,biotech_main,,,,
ST Olin,,472,4,biotech_main,,,,
ST Olin,,472,4,biotech_main,,,,
ST Olin,,472,4,biotech_main,,,,
ST Olin,,472,4,biotech_main,,,,
ST Olin,,475,4,biotech_main,,,,
ST Olin,,475,4,biotech_main,,,,
ST Olin,,475,4,biotech_main,,,,
ST Olin,,475,4,biotech_main,,,,
ST Olin,,480,4,biotech_main,,,,
ST Olin,,480,4,biotech_main,,,,
ST Olin,,480,4,biotech_main,,,,
ST Olin,,480,4,biotech_main,,,,
ST Olin,,562A,5,biotech_main,,,,
ST Olin,,562A,5,biotech_main,,,,
ST Olin,,562A,5,biotech_main,,,,
ST Olin,,562A,5,biotech_main,,,,
ST Olin,,565A,5,biotech_main,,,,
ST Olin,,565A,5,biotech_main,,,,
ST Olin,,565A,5,biotech_main,,,,
ST Olin,,565A,5,biotech_main,,,,
ST Olin,,565A,5,biotech_main,,,,
ST Olin,,565A,5,biotech_main,,,,
ST Olin,,570A,5,biotech_main,,,,
ST Olin,,570A,5,biotech_main,,,,
ST Olin,,570A,5,biotech_main,,,,
ST Olin,,570A,5,biotech_main,,,,
ST Olin,,571,5,biotech_main,,,,
ST Olin,,571,5,biotech_main,,,,
ST Olin,,571,5,biotech_main,,,,
ST Olin,,571,5,biotech_main,,,,
ST Olin,,572,5,biotech_main,,,,
ST Olin,,572,5,biotech_main,,,,
ST Olin,,572A,5,biotech_main,,,,
ST Olin,,572A,5,biotech_main,,,,
ST Olin,,575,5,biotech_main,,,,
ST Olin,,575,5,biotech_main,,,,
ST Olin,,575,5,biotech_main,,,,
ST Olin,,G61,G,biotech_main,,,,
ST Olin,,G65,G,biotech_main,,,,
ST Olin,,G67,G,biotech_main,,,,
ST Olin,,G75B,G,biotech_main,,,,
ST Olin,,272A,2,biotech_main,,,,
ST Olin,,275A,2,biotech_main,,,,
ST Olin,,662A,6,biotech_main,,,,
ST Olin,,677,6,biotech_main,,,,
ST Olin,,668A,6,biotech_main,,,,
ST Olin,,676,6,biotech_main,,,,
ST Olin,,676,6,biotech_main,,,,
ST Olin,,364A,3,biotech_main,,,,
ST Olin,,364A,3,biotech_main,,,,
ST Olin,,364A,3,biotech_main,,,,
ST Olin,,364A,3,biotech_main,,,,
ST Olin,,370A,3,biotech_main,,,,
ST Olin,,370A,3,biotech_main,,,,
ST Olin,,370A,3,biotech_main,,,,
ST Olin,,370A,3,biotech_main,,,,
ST Olin,,361A,3,biotech_main,,,,
ST Olin,,361A,3,biotech_main,,,,
ST Olin,,361A,3,biotech_main,,,,
ST Olin,,361A,3,biotech_main,,,,
ST Olin,,365A,3,biotech_main,,,,
ST Olin,,365A,3,biotech_main,,,,
ST Olin,,365A,3,biotech_main,,,,
ST Olin,,365A,3,biotech_main,,,,
ST Olin,,762A,7,biotech_main,,,,
ST Olin,,762A,7,biotech_main,,,,
ST Olin,,768A,7,biotech_main,,,,
ST Olin,,768A,7,biotech_main,,,,
ST Olin,,770A,7,biotech_main,,,,
ST Olin,,780A,7,biotech_main,,,,
ST Olin,,780A,7,biotech_main,,,,
ST Olin,,761A,7,biotech_main,,,,
ST Olin,,580A,5,biotech_main,,,,
ST Olin,,580A,5,biotech_main,,,,
ST Olin,,580A,5,biotech_main,,,,
ST Olin,,580A,5,biotech_main,,,,
ST Olin,,573,5,biotech_main,,,,
ST Olin,,573,5,biotech_main,,,,
ST Olin,,273,2,biotech_main,,,,
