building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Seeley G Mudd Hall,,W112,W,biotech_main,,,,
Seeley G Mudd Hall,,347B,3,biotech_main,,,,
Seeley G Mudd Hall,,W120,W,biotech_main,,,,
Seeley G Mudd Hall,,W129,W,biotech_main,,,,
Seeley G Mudd Hall,,W153,W,biotech_main,,,,
Seeley G Mudd Hall,,W220,W,biotech_main,,,,
Seeley G Mudd Hall,,W233,W,biotech_main,,,,
Seeley G Mudd Hall,,W233,W,biotech_main,,,,
Seeley G Mudd Hall,,W243,W,biotech_main,,,,
Seeley G Mudd Hall,,W244,W,biotech_main,,,,
Seeley G Mudd Hall,,W314,W,biotech_main,,,,
Seeley G Mudd Hall,,W350,W,biotech_main,,,,
Seeley G Mudd Hall,,W355,W,biotech_main,,,,
Seeley G Mudd Hall,,W327,W,biotech_main,,,,
Seeley G Mudd Hall,,W354,W,biotech_main,,,,
Seeley G Mudd Hall,,W117,W,biotech_main,,,,
