building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Snee Hall,,1162,1,biotech_main,,,,
Snee Hall,,3146A,3,biotech_main,,,,
Snee Hall,,3146A,3,biotech_main,,,,
Snee Hall,,3158,3,biotech_main,,,,
Snee Hall,,4146,4,biotech_main,,,,
Snee Hall,,4158,4,biotech_main,,,,
Snee Hall,,4160,4,biotech_main,,,,
Snee Hall,,4161B,4,biotech_main,,,,
Snee Hall,,4161B,4,biotech_main,,,,
Snee Hall,,4146B,4,biotech_main,,,,
Snee Hall,,4158,4,biotech_main,,,,
Snee Hall,,4158,4,biotech_main,,,,
Snee Hall,,4161C,4,biotech_main,,,,
Snee Hall,,4161C,4,biotech_main,,,,
