building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Stocking Hall,,250B,2,biotech_main,,,,
Stocking Hall,,250C,2,biotech_main,,,,
Stocking Hall,,252B,2,biotech_main,,,,
Stocking Hall,,252C,2,biotech_main,,,,
Stocking Hall,,253B,2,biotech_main,,,,
Stocking Hall,,253C,2,biotech_main,,,,
Stocking Hall,,253D,2,biotech_main,,,,
Stocking Hall,,255C,2,biotech_main,,,,
Stocking Hall,,257C,2,biotech_main,,,,
Stocking Hall,,259B,2,biotech_main,,,,
Stocking Hall,,254B,2,biotech_main,,,,
Stocking Hall,,256C,2,biotech_main,,,,
Stocking Hall,,357C,3,biotech_main,,,,
Stocking Hall,,357C,3,biotech_main,,,,
Stocking Hall,,355C,3,biotech_main,,,,
Stocking Hall,,353B,3,biotech_main,,,,
Stocking Hall,,350C,3,biotech_main,,,,
Stocking Hall,,352C,3,biotech_main,,,,
Stocking Hall,,354B,3,biotech_main,,,,
Stocking Hall,,356B,3,biotech_main,,,,
Stocking Hall,,254B Lab,2,biotech_main,,,,
Stocking Hall,,353A Lab,3,biotech_main,,,,
