building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Thurston Hall,,333,3,biotech_main,,,,
Thurston Hall,,401,4,biotech_main,,,,
Thurston Hall,,401,4,biotech_main,,,,
Thurston Hall,,401,4,biotech_main,,,,
Thurston Hall,,402,4,biotech_main,,,,
Thurston Hall,,402,4,biotech_main,,,,
Thurston Hall,,403,4,biotech_main,,,,
Thurston Hall,,403,4,biotech_main,,,,
Thurston Hall,,404,4,biotech_main,,,,
Thurston Hall,,407,4,biotech_main,,,,
Thurston Hall,,407,4,biotech_main,,,,
Thurston Hall,,408,4,biotech_main,,,,
Thurston Hall,,415,4,biotech_main,,,,
Thurston Hall,,415,4,biotech_main,,,,
Thurston Hall,,417,4,biotech_main,,,,
Thurston Hall,,417,4,biotech_main,,,,
Thurston Hall,,420,4,biotech_main,,,,
Thurston Hall,,420,4,biotech_main,,,,
Thurston Hall,,421,4,biotech_main,,,,
Thurston Hall,,406,4,biotech_main,,,,
Thurston Hall,,406,4,biotech_main,,,,
Thurston Hall,,B05 Concrete Lab,B,biotech_main,,,,
