building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Vet Medical Center,,C1027A,C,biotech_main,,,,
Vet Medical Center,,C4134,C,biotech_main,,,,
Vet Medical Center,,C1054,C,biotech_main,,,,
Vet Medical Center,,C2002,C,biotech_main,,,,
Vet Medical Center,,C2008,C,biotech_main,,,,
Vet Medical Center,,C2016,C,biotech_main,,,,
Vet Medical Center,,C2026,C,biotech_main,,,,
Vet Medical Center,,C2040,C,biotech_main,,,,
Vet Medical Center,,C2222,C,biotech_main,,,,
Vet Medical Center,,C3102,C,biotech_main,,,,
Vet Medical Center,,C3104,C,biotech_main,,,,
Vet Medical Center,,C3114,C,biotech_main,,,,
Vet Medical Center,,C3115,C,biotech_main,,,,
Vet Medical Center,,C3122,C,biotech_main,,,,
Vet Medical Center,,C3126,C,biotech_main,,,,
Vet Medical Center,,C3130,C,biotech_main,,,,
Vet Medical Center,,C3132,C,biotech_main,,,,
Vet Medical Center,,C3134,C,biotech_main,,,,
Vet Medical Center,,C3140,C,biotech_main,,,,
Vet Medical Center,,C3144,C,biotech_main,,,,
Vet Medical Center,,C3156,C,biotech_main,,,,
Vet Medical Center,,C3164,C,biotech_main,,,,
Vet Medical Center,,C3172,C,biotech_main,,,,
Vet Medical Center,,C1054E,C,biotech_main,,,,
Vet Medical Center,,C1054W,C,biotech_main,,,,
Vet Medical Center,,C2029A,C,biotech_main,,,,
Vet Medical Center,,C2029A,C,biotech_main,,,,
Vet Medical Center,,C2029B,C,biotech_main,,,,
Vet Medical Center,,C2029B,C,biotech_main,,,,
Vet Medical Center,,C3174,C,biotech_main,,,,
Vet Medical Center,,C3176,C,biotech_main,,,,
Vet Medical Center,,C4102,C,biotech_main,,,,
Vet Medical Center,,C4108,C,biotech_main,,,,
Vet Medical Center,,C4114,C,biotech_main,,,,
Vet Medical Center,,C4118,C,biotech_main,,,,
Vet Medical Center,,C4132,C,biotech_main,,,,
Vet Medical Center,,C4136,C,biotech_main,,,,
Vet Medical Center,,C4140,C,biotech_main,,,,
Vet Medical Center,,C4146,C,biotech_main,,,,
Vet Medical Center,,C4156,C,biotech_main,,,,
Vet Medical Center,,C4160A,C,biotech_main,,,,
Vet Medical Center,,C4162A,C,biotech_main,,,,
Vet Medical Center,,C4168,C,biotech_main,,,,
Vet Medical Center,,C5102,C,biotech_main,,,,
Vet Medical Center,,C5108,C,biotech_main,,,,
Vet Medical Center,,C5110,C,biotech_main,,,,
Vet Medical Center,,C5114,C,biotech_main,,,,
Vet Medical Center,,C5115,C,biotech_main,,,,
Vet Medical Center,,C5122,C,biotech_main,,,,
Vet Medical Center,,C5130,C,biotech_main,,,,
Vet Medical Center,,C5132,C,biotech_main,,,,
Vet Medical Center,,C5134,C,biotech_main,,,,
Vet Medical Center,,C5138,C,biotech_main,,,,
Vet Medical Center,,C5142,C,biotech_main,,,,
Vet Medical Center,,C5152,C,biotech_main,,,,
Vet Medical Center,,C5160,C,biotech_main,,,,
Vet Medical Center,,C5166,C,biotech_main,,,,
Vet Medical Center,,C5168,C,biotech_main,,,,
Vet Medical Center,,C5174,C,biotech_main,,,,
Vet Medical Center,,C1116,C,biotech_main,,,,
Vet Medical Center,,C1116,C,biotech_main,,,,
Vet Medical Center,,C1118,C,biotech_main,,,,
Vet Medical Center,,C1118,C,biotech_main,,,,
Vet Medical Center,,C1116J,C,biotech_main,,,,
Vet Medical Center,,C1116J,C,biotech_main,,,,
Vet Medical Center,,C4176,C,biotech_main,,,,
Vet Medical Center,,C4104,C,biotech_main,,,,
