building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Vet Research Tower,,T2001,T,biotech_main,,,,
Vet Research Tower,,T2001E,T,biotech_main,,,,
Vet Research Tower,,T2007,T,biotech_main,,,,
Vet Research Tower,,T2007C,T,biotech_main,,,,
Vet Research Tower,,T3001,T,biotech_main,,,,
Vet Research Tower,,T3001,T,biotech_main,,,,
Vet Research Tower,,T4009,T,biotech_main,,,,
Vet Research Tower,,T4017,T,biotech_main,,,,
Vet Research Tower,,T4017,T,biotech_main,,,,
Vet Research Tower,,T4021,T,biotech_main,,,,
Vet Research Tower,,T5003,T,biotech_main,,,,
Vet Research Tower,,T5011,T,biotech_main,,,,
Vet Research Tower,,T5013,T,biotech_main,,,,
Vet Research Tower,,T5021,T,biotech_main,,,,
Vet Research Tower,,T6007,T,biotech_main,,,,
Vet Research Tower,,T6007,T,biotech_main,,,,
Vet Research Tower,,T6007,T,biotech_main,,,,
Vet Research Tower,,T7007,T,biotech_main,,,,
Vet Research Tower,,T7007,T,biotech_main,,,,
Vet Research Tower,,T7007,T,biotech_main,,,,
Vet Research Tower,,T8007,T,biotech_main,,,,
Vet Research Tower,,T9007,T,biotech_main,,,,
Vet Research Tower,,T9007,T,biotech_main,,,,
Vet Research Tower,,TB013,T,biotech_main,,,,
Vet Research Tower,,T8007,T,biotech_main,,,,
Vet Research Tower,,TB016,T,biotech_main,,,,
Vet Research Tower,,T3001,T,biotech_main,,,,
Vet Research Tower,,T8007,T,biotech_main,,,,
Vet Research Tower,,T8007,T,biotech_main,,,,
