building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Weill Hall,,413B,4,biotech_main,,,,
Weill Hall,,414B,4,biotech_main,,,,
Weill Hall,,410B,4,biotech_main,,,,
Weill Hall,,464B,4,biotech_main,,,,
Weill Hall,,440,4,biotech_main,,,,
Weill Hall,,409B,4,biotech_main,,,,
Weill Hall,,438A,4,biotech_main,,,,
Weill Hall,,452,4,biotech_main,,,,
Weill Hall,,448,4,biotech_main,,,,
Weill Hall,,434A,4,biotech_main,,,,
Weill Hall,,444B,4,biotech_main,,,,
Weill Hall,,460,4,biotech_main,,,,
Weill Hall,,452B,4,biotech_main,,,,
Weill Hall,,340A,3,biotech_main,,,,
Weill Hall,,314B,3,biotech_main,,,,
Weill Hall,,313B,3,biotech_main,,,,
Weill Hall,,340,3,biotech_main,,,,
Weill Hall,,364B,3,biotech_main,,,,
Weill Hall,,360,3,biotech_main,,,,
Weill Hall,,348A,3,biotech_main,,,,
Weill Hall,,334A,3,biotech_main,,,,
Weill Hall,,352B,3,biotech_main,,,,
Weill Hall,,352,3,biotech_main,,,,
Weill Hall,,310B,3,biotech_main,,,,
Weill Hall,,140,1,biotech_main,,,,
Weill Hall,,309B,3,biotech_main,,,,
Weill Hall,,248A,2,biotech_main,,,,
Weill Hall,,252A,2,biotech_main,,,,
Weill Hall,,256A,2,biotech_main,,,,
Weill Hall,,264A,2,biotech_main,,,,
Weill Hall,,218A,2,biotech_main,,,,
Weill Hall,,202A,2,biotech_main,,,,
Weill Hall,,238C,2,biotech_main,,,,
Weill Hall,,240A,2,biotech_main,,,,
Weill Hall,,240,2,biotech_main,,,,
Weill Hall,,260,2,biotech_main,,,,
Weill Hall,,234B,2,biotech_main,,,,
Weill Hall,,164A,1,biotech_main,,,,
Weill Hall,,156A,1,biotech_main,,,,
Weill Hall,,160,1,biotech_main,,,,
Weill Hall,,148A,1,biotech_main,,,,
Weill Hall,,148B-02,1,biotech_main,,,,
Weill Hall,,148B-03,1,biotech_main,,,,
Weill Hall,,148B-01,1,biotech_main,,,,
Weill Hall,,134B,1,biotech_main,,,,
Weill Hall,,B36,B,biotech_main,,,,
Weill Hall,,B54,B,biotech_main,,,,
Weill Hall,,B60,B,biotech_main,,,,
Weill Hall,,338C,3,biotech_main,,,,
Weill Hall,,252,2,biotech_main,,,,
Weill Hall,,B05-A,B,biotech_main,,,,
Weill Hall,,B07A,B,biotech_main,,,,
Weill Hall,,B07D,B,biotech_main,,,,
Weill Hall,,308,3,biotech_main,,,,
Weill Hall,,140,1,biotech_main,,,,
Weill Hall,,140,1,biotech_main,,,,
Weill Hall,,140,1,biotech_main,,,,
Weill Hall,,140,1,biotech_main,,,,
Weill Hall,,140,1,biotech_main,,,,
Weill Hall,,B25,B,biotech_main,,,,
