building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Wing Hall Wing,,156,1,biotech_main,,,,
Wing Hall Wing,,157,1,biotech_main,,,,
Wing Hall Wing,,175,1,biotech_main,,,,
Wing Hall Wing,,175,1,biotech_main,,,,
Wing Hall Wing,,257,2,biotech_main,,,,
Wing Hall Wing,,260,2,biotech_main,,,,
Wing Hall Wing,,261,2,biotech_main,,,,
Wing Hall Wing,,270,2,biotech_main,,,,
Wing Hall Wing,,270A,2,biotech_main,,,,
Wing Hall Wing,,358,3,biotech_main,,,,
Wing Hall Wing,,359,3,biotech_main,,,,
Wing Hall Wing,,360,3,biotech_main,,,,
Wing Hall Wing,,363,3,biotech_main,,,,
Wing Hall Wing,,370,3,biotech_main,,,,
Wing Hall Wing,,370A,3,biotech_main,,,,
Wing Hall Wing,,B52,B,biotech_main,,,,
Wing Hall Wing,,B53,B,biotech_main,,,,
Wing Hall Wing,,B56,B,biotech_main,,,,
Wing Hall Wing,,B57,B,biotech_main,,,,
Wing Hall Wing,,B76,B,biotech_main,,,,
