Location,Control Program,Name,Type,ObjectId,DeviceId,ObjectName,Path
,,Fume Hood Sash Position Input,BAI,AI:3,DEV:1018362,fh_sash_pos_1,#lab_g49/fh_sash_pos
,,HOOD SASH POS,BAI,AI:4,DEV:1018354,hood_sash_1,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48702,hood_sash_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48703,HoodSash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48705,hood_sash_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48706,hood_sash_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48707,hood_sash_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48708,hood_sash_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48709,hood_sash_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/hood_sash
,,Fume Hood-1 Sash Position Input,BAI,AI:4,DEV:48553,fh-1_sash_pos_1,#biotech_lab_267b_hvac/fh-1_sash_pos
,,Fume Hood-1 Sash Position Input,BAI,AI:4,DEV:48515,fh-1_sash_pos_1,#biotech_209_hvac/fh-1_sash_pos
,,Fume Hood-1 Sash Position Input,BAI,AI:4,DEV:48516,fh-1_sash_pos_1,#biotech_209b_hvac/fh-1_sash_pos
,,Fume Hood-1 Sash Position Input,BAI,AI:4,DEV:48514,fh-1_sash_pos_2,#biotech_lab_203b_hvac/fh-1_sash_pos
,,Fume Hood-1 Sash Position Input,BAI,AI:4,DEV:48444,fh-1_sash_pos_2,#biotech_245_hvac/fh-1_sash_pos
,,Fume Hood-1 Sash Position Input,BAI,AI:4,DEV:48445,fh-1_sash_pos_1,#biotech_lab_245b_hvac/fh-1_sash_pos
,,HOOD SASH POS,BAI,AI:4,DEV:48303,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48305,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48306,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48307,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48308,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48309,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48310,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48411,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48412,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48446,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48447,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48448,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48449,hood_sash_1,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_sash
