Point List,,,,,,,
Location:,Cornell University / Biotech Server / Biotech / Biotech 1st Floor,,,,,,
cols_too_big();,,,,,,,
report_progress_step(),,,,,,,
Location,Control Program,Name,Type,Object ID,Device ID,Object Name,Path
/Cornell University/Biotech Server/Biotech/Biotech 1st Floor/First Floor Fume Hood Lab Spaces,,,,,,,
,Lab 141 Control,,,,,,
,,ZONE TEMP,BRS,,DEV:48702,,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/zone
,,ZONE TEMP / Zone Temp,BAI,AI:1,DEV:48702,zone_temp_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/zone/zone_temp
,,ZONE TEMP / Override Time Remaining,BAV,AV:1,DEV:48702,override_time_remaining_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/zone/override_time_remaining
,,GEX VALVE FLOW,BAI,AI:2,DEV:48702,gexvalve_flow_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/gexvalve_flow
,,HOOD FLOW,BAI,AI:3,DEV:48702,hoodvalve_flow_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hoodvalve_flow
,,HOOD SASH POS,BAI,AI:4,DEV:48702,hood_sash_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hood_sash
,,SUPPLY FLOW,BAI,AI:5,DEV:48702,supplyvalve_flow_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/supplyvalve_flow
,,VAV RHT STEMP,BAI,AI:6,DEV:48702,dat_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/dat
,,OCC SENSOR,BBI,BI:1,DEV:48702,occ_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/occ
,,GEX VALVE CMD,BAO,AO:1,DEV:48702,m012_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/m012
,,HOOD CUTBACK CMD,BAO,AO:2,DEV:48702,hood_cutback_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hood_cutback
,,RHT VLV CMD,BAO,AO:3,DEV:48702,hw_valve_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hw_valve
,,SUPPLY VALVE CMD,BAO,AO:4,DEV:48702,m011_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/m011
,,Clg Setpt,BAV,AV:8,DEV:48702,clg_setpt_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/clg_setpt
,,GEX VALVE SETPT,BAV,AV:2,DEV:48702,gexvalve_setpt_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/gexvalve_setpt
,,Hood Count,BAV,AV:6,DEV:48702,hood_count_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hood_count
,,Hood Open,BAV,AV:27,DEV:48702,hoods_open_av_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hoods_open_av
,,Htg Setpt,BAV,AV:9,DEV:48702,htg_setpt_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/htg_setpt
,,Lab_Setback,BAV,AV:11,DEV:48702,lab_setback_av_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/lab_setback_av
,,LabSchedule,BAV,AV:12,DEV:48702,lab_schedule_av_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/lab_schedule_av
,,Lab Schedule Count,BAV,AV:13,DEV:48702,lab_schedule_count_av_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/lab_schedule_count_av
,,Lab Setback Count,BAV,AV:14,DEV:48702,lab_setback_count_av_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/lab_setback_count_av
,,NITE_SETBACK,BAV,AV:3,DEV:48702,nite_setback_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/nite_setback
,,Occ Exhaust Max Setpt,BAV,AV:19,DEV:48702,m186_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/m186
,,Occ Max EAirflow Setpoint,BAV,AV:20,DEV:48702,occ_max_eflow_stpt_av_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,AV:21,DEV:48702,occ_max_sflow_stpt_av_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,AV:22,DEV:48702,occ_min_eflow_stpt_av_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,AV:23,DEV:48702,occ_min_sflow_stpt_av_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/occ_min_sflow_stpt_av
,,Occupied Supply Min Setpt,BAV,AV:24,DEV:48702,m187_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/m187
,,Occ Value for TOT,BAV,AV:4,DEV:48702,occ_value_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/occ_value
,,SUPPLY VALVE SETPT,BAV,AV:5,DEV:48702,supplyvalve_setpt_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/supplyvalve_setpt
,,Total Exhaust Airflow,BAV,AV:28,DEV:48702,exhaust_flow_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/exhaust_flow
,,Total Exh Stpt,BAV,AV:10,DEV:48702,tex_setpt_1,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/tex_setpt
