Point List,,,,,,,
Location:,Cornell University / Biotech Server / Biotech / Biotech 4th Floor,,,,,,
cols_too_big();,,,,,,,
report_progress_step(),,,,,,,
report_progress_step(),,,,,,,
report_progress_step(),,,,,,,
Location,Control Program,Name,Type,Object ID,Device ID,Object Name,Path
/Cornell University/Biotech Server/Biotech/Biotech 4th Floor/12-2024 Control Upgrade,,,,,,,
,Biotech Lab 445A HVAC,,,,,,
,,Setpoint,BSPTCS,,DEV:49353,,#biotech_lab_445a_hvac/setpt
,,Setpoint / Cooling Occupied Setpoint,BAV,AV:1,DEV:49353,occupied_cool_setpoint_1,#biotech_lab_445a_hvac/setpt/occupied_cool_setpoint
,,Setpoint / Heating Occupied Setpoint,BAV,AV:2,DEV:49353,occupied_heat_setpoint_1,#biotech_lab_445a_hvac/setpt/occupied_heat_setpoint
,,Setpoint / Cooling Unoccupied Setpoint,BAV,AV:3,DEV:49353,unoccupied_cool_setpoint_1,#biotech_lab_445a_hvac/setpt/unoccupied_cool_setpoint
,,Setpoint / Heating Unoccupied Setpoint,BAV,AV:4,DEV:49353,unoccupied_heat_setpoint_1,#biotech_lab_445a_hvac/setpt/unoccupied_heat_setpoint
,,Setpoint / Cooling Setpoint Adjust,BAV,AV:5,DEV:49353,cool_setpoint_adjust_1,#biotech_lab_445a_hvac/setpt/cool_setpoint_adjust
,,Setpoint / Heating Setpoint Adjust,BAV,AV:6,DEV:49353,heat_setpoint_adjust_1,#biotech_lab_445a_hvac/setpt/heat_setpoint_adjust
,,Setpoint / Effective Cooling Setpoint,BAV,AV:7,DEV:49353,effective_cool_setpoint_1,#biotech_lab_445a_hvac/setpt/effective_cool_setpoint
,,Setpoint / Effective Heating Setpoint,BAV,AV:8,DEV:49353,effective_heat_setpoint_1,#biotech_lab_445a_hvac/setpt/effective_heat_setpoint
,,EAV-1 Flow Feedback,BAI,AI:1,DEV:49353,eav-1_flow_fbk_1,#biotech_lab_445a_hvac/eav-1_flow_fbk
,,EAV Damper Position,BAI,AI:2,DEV:49353,eav_damper_pos_1,#biotech_lab_445a_hvac/eav_damper_pos
,,SAV-1 Flow Feedback,BAI,AI:3,DEV:49353,sav-1_flow_fbk_1,#biotech_lab_445a_hvac/sav-1_flow_fbk
,,SAV-1 Supply Air Temp,BAI,AI:4,DEV:49353,sav-1_sa_temperature_1,#biotech_lab_445a_hvac/sav-1_sa_temperature
,,SAV Damper Position,BAI,AI:5,DEV:49353,sav_damper_pos_1,#biotech_lab_445a_hvac/sav_damper_pos
,,Zone Temp,ASVI,AI:6,DEV:49353,zone_temp_1,#biotech_lab_445a_hvac/zone_temp
,,Occupancy Sensor,BBI,BI:1,DEV:49353,occ_sensor_1,#biotech_lab_445a_hvac/occ_sensor
,,EAV-1 Flow Setpoint,BAO,AO:1,DEV:49353,eav-1_flowsp_1,#biotech_lab_445a_hvac/eav-1_flowsp
,,SAV-1 Flow Setpoint,BAO,AO:2,DEV:49353,sav-1_flowsp_1,#biotech_lab_445a_hvac/sav-1_flowsp
,,SAV-1 Reheat Valve,BAO,AO:3,DEV:49353,sav-1_reheat_valve_1,#biotech_lab_445a_hvac/sav-1_reheat_valve
,,% Furniture,BAV,AV:9,DEV:49353,furniture_percent_1,#biotech_lab_445a_hvac/furniture_percent
,,Active Zone,BAV,AV:10,DEV:49353,active_zones_1,#biotech_lab_445a_hvac/active_zones
,,Air Changes per Hour,BAV,AV:11,DEV:49353,ach_1,#biotech_lab_445a_hvac/ach
,,Ceiling Height,BAV,AV:12,DEV:49353,clg_ht_1,#biotech_lab_445a_hvac/clg_ht
,,chw_load_shed,BAV,AV:13,DEV:49353,m344_1,#biotech_lab_445a_hvac/m344
,,Color,BAV,AV:14,DEV:49353,color_av_1,#biotech_lab_445a_hvac/color_av
,,Cooling Percent,BAV,AV:15,DEV:49353,cooling_percent_av_1,#biotech_lab_445a_hvac/cooling_percent_av
,,Cooling Setpoint,BAV,AV:16,DEV:49353,cooling_setpoint_av_1,#biotech_lab_445a_hvac/cooling_setpoint_av
,,Cool Request,BAV,AV:17,DEV:49353,cool_request_1,#biotech_lab_445a_hvac/cool_request
,,Corrected Setpoint Adjust,BAV,AV:18,DEV:49353,corrected_sp_adj_1,#biotech_lab_445a_hvac/corrected_sp_adj
,,Cubic ft of Furniture,BAV,AV:19,DEV:49353,furniture_ft3_1,#biotech_lab_445a_hvac/furniture_ft3
,,EAV-1 Flow Setpoint,BAV,AV:20,DEV:49353,eav-1_flow_setpt_av_1,#biotech_lab_445a_hvac/eav-1_flow_setpt_av
,,EAV-1 Flow Stpt Deviation,BAV,AV:21,DEV:49353,eav-1_flo_stpt_dev_1,#biotech_lab_445a_hvac/eav-1_flo_stpt_dev
,,EAV-1 Max,BAV,AV:22,DEV:49353,eav-1_max_1,#biotech_lab_445a_hvac/eav-1_max
,,EAV-1 Min,BAV,AV:23,DEV:49353,eav-1_min_1,#biotech_lab_445a_hvac/eav-1_min
,,EAV-1 Setpoint,BAV,AV:24,DEV:49353,eav-1_setpt_1,#biotech_lab_445a_hvac/eav-1_setpt
,,EI Weighting,BAV,AV:25,DEV:49353,ei_weight_1,#biotech_lab_445a_hvac/ei_weight
,,Environmental Index Count,BAV,AV:26,DEV:49353,item_count_1,#biotech_lab_445a_hvac/item_count
,,Exhaust Air Valve 1 Flow,BAV,AV:27,DEV:49353,eav-1_flow_av_1,#biotech_lab_445a_hvac/eav-1_flow_av
,,Flow Differential,BAV,AV:28,DEV:49353,differential_1,#biotech_lab_445a_hvac/differential
,,Heating Percent,BAV,AV:29,DEV:49353,heating_percent_av_1,#biotech_lab_445a_hvac/heating_percent_av
,,Heating Setpoint,BAV,AV:30,DEV:49353,heating_setpoint_av_1,#biotech_lab_445a_hvac/heating_setpoint_av
,,Heat Request,BAV,AV:31,DEV:49353,heat_request_1,#biotech_lab_445a_hvac/heat_request
,,Max Cooling Flow,BAV,AV:32,DEV:49353,exh_max_flow_1,#biotech_lab_445a_hvac/exh_max_flow
,,Metric,BAV,AV:33,DEV:49353,metric_conv_1,#biotech_lab_445a_hvac/metric_conv
,,Minimum Occupied Flow,BAV,AV:34,DEV:49353,sup_occ_min_flow_1,#biotech_lab_445a_hvac/sup_occ_min_flow
,,Minimum Occupied Flow,BAV,AV:35,DEV:49353,sup_unocc_min_flow_1,#biotech_lab_445a_hvac/sup_unocc_min_flow
,,OA Humidity,BAV,AV:36,DEV:49353,oa_humidity_1,#biotech_lab_445a_hvac/oa_humidity
,,OA Temperature,BAV,AV:37,DEV:49353,oa_temperature_1,#biotech_lab_445a_hvac/oa_temperature
,,Offset Flow Stpt Deviation,BAV,AV:38,DEV:49353,offset_flo_stpt_dev_1,#biotech_lab_445a_hvac/offset_flo_stpt_dev
,,point name,BAV,AV:39,DEV:49353,m339_1,#biotech_lab_445a_hvac/m339
,,point name,BAV,AV:40,DEV:49353,m769_1,#biotech_lab_445a_hvac/m769
,,Reheat Heating % High Limit,BAV,AV:41,DEV:49353,rhw_htg_percent_hi_1,#biotech_lab_445a_hvac/rhw_htg_percent_hi
,,Reheat Heating % Low Limit,BAV,AV:42,DEV:49353,rhw_htg_percent_low_1,#biotech_lab_445a_hvac/rhw_htg_percent_low
,,Room Square Footage,BAV,AV:43,DEV:49353,room_sqf_1,#biotech_lab_445a_hvac/room_sqf
,,Run Request,BAV,AV:44,DEV:49353,sys_run_req_1,#biotech_lab_445a_hvac/sys_run_req
,,SAV-1 Flow Setpoint,BAV,AV:45,DEV:49353,sav-1_flow_setpt_av_1,#biotech_lab_445a_hvac/sav-1_flow_setpt_av
,,SAV-1 Flow Stpt Deviation,BAV,AV:46,DEV:49353,sav-1_flo_stpt_dev_1,#biotech_lab_445a_hvac/sav-1_flo_stpt_dev
,,SAV-1 Max,BAV,AV:47,DEV:49353,sav-1_max_1,#biotech_lab_445a_hvac/sav-1_max
,,SAV-1 Min,BAV,AV:48,DEV:49353,sav-1_min_1,#biotech_lab_445a_hvac/sav-1_min
,,SAV-1 Setpoint,BAV,AV:49,DEV:49353,sav-1_setpt_1,#biotech_lab_445a_hvac/sav-1_setpt
,,SAV-1 Supply Air Temp Setpoint,BAV,AV:50,DEV:49353,sav-1_sat_stpt_av_1,#biotech_lab_445a_hvac/sav-1_sat_stpt_av
,,steam_load_shed,BAV,AV:51,DEV:49353,m361_1,#biotech_lab_445a_hvac/m361
,,Supply Air Valve 1 Flow,BAV,AV:52,DEV:49353,sav-1_flow_av_1,#biotech_lab_445a_hvac/sav-1_flow_av
,,Total Exhaust Flow,BAV,AV:53,DEV:49353,teflow_1,#biotech_lab_445a_hvac/teflow
,,Total Exhaust Setpoint,BAV,AV:54,DEV:49353,tex_setpt_1,#biotech_lab_445a_hvac/tex_setpt
,,Total Supply-Exhaust Flow Offset,BAV,AV:55,DEV:49353,flow_offset_1,#biotech_lab_445a_hvac/flow_offset
,,Total Supply Flow,BAV,AV:56,DEV:49353,tsflow_1,#biotech_lab_445a_hvac/tsflow
,,Zone EI Time Satisfied,BAV,AV:57,DEV:49353,zn_ei_time_sat_1,#biotech_lab_445a_hvac/zn_ei_time_sat
,,Zone EI Total Weight,BAV,AV:58,DEV:49353,total_weight_1,#biotech_lab_445a_hvac/total_weight
,,Zone Environmental Index,BAV,AV:59,DEV:49353,zn_enviro_indx_1,#biotech_lab_445a_hvac/zn_enviro_indx
,,Zone Temp,BAV,AV:60,DEV:49353,zone_temp_av_1,#biotech_lab_445a_hvac/zone_temp_av
,,Zone Weighted Environmental Index,BAV,AV:61,DEV:49353,enviro_windx_1,#biotech_lab_445a_hvac/enviro_windx
,,Airflow Request,BBV,BV:1,DEV:49353,air_request_1,#biotech_lab_445a_hvac/air_request
,,E Airflow Request,BBV,BV:2,DEV:49353,e_air_request_1,#biotech_lab_445a_hvac/e_air_request
,,EM Power Condensation Alarm Enable,BBV,BV:3,DEV:49353,em_condensation_enbl_1,#biotech_lab_445a_hvac/em_condensation_enbl
,,EM Power DAT Alarm Enable,BBV,BV:4,DEV:49353,em_dat_enbl_1,#biotech_lab_445a_hvac/em_dat_enbl
,,EM Power Fan Alarm Enable,BBV,BV:5,DEV:49353,em_fan_enbl_1,#biotech_lab_445a_hvac/em_fan_enbl
,,EM Power Zone Temp Alarm Enable,BBV,BV:6,DEV:49353,em_zone_enbl_1,#biotech_lab_445a_hvac/em_zone_enbl
,,Energy Saving,BBV,BV:7,DEV:49353,energy_saving_1,#biotech_lab_445a_hvac/energy_saving
,,Exhaust Air Valve 1,BBV,BV:8,DEV:49353,eav-1_id_1,#biotech_lab_445a_hvac/eav-1_id
,,Exhaust Air Valve 1 Flow,BBV,BV:9,DEV:49353,eav-1_flow_alarm_bv_1,#biotech_lab_445a_hvac/eav-1_flow_alarm_bv
,,General Maintenance,BBV,BV:10,DEV:49353,general_maintenance_1,#biotech_lab_445a_hvac/general_maintenance
,,General Zone Alarm,BBV,BV:11,DEV:49353,general_zone_alarm_1,#biotech_lab_445a_hvac/general_zone_alarm
,,Local Occupied,BBV,BV:12,DEV:49353,local_occupied_bv_1,#biotech_lab_445a_hvac/local_occupied_bv
,,Occupancy,BBV,BV:13,DEV:49353,occ_status_1,#biotech_lab_445a_hvac/occ_status
,,Occupied,BBV,BV:14,DEV:49353,occupied_bv_1,#biotech_lab_445a_hvac/occupied_bv
,,point name,BBV,BV:15,DEV:49353,m457_1,#biotech_lab_445a_hvac/m457
,,point name,BBV,BV:16,DEV:49353,m767_1,#biotech_lab_445a_hvac/m767
,,SAV-1 FLOW ON BV,BBV,BV:17,DEV:49353,sav-1_flow_on_bv_1,#biotech_lab_445a_hvac/sav-1_flow_on_bv
,,schedule,BBV,BV:18,DEV:49353,schedule_1,#biotech_lab_445a_hvac/schedule
,,Scheduled Occupied,BBV,BV:19,DEV:49353,scheduled_occupied_bv_1,#biotech_lab_445a_hvac/scheduled_occupied_bv
,,Supply Air Valve 1,BBV,BV:20,DEV:49353,sav-1_id_1,#biotech_lab_445a_hvac/sav-1_id
