Point List,,,,,,,
Location:,Cornell University / Biotech Server / Biotech / Biotech Ground Floor,,,,,,
cols_too_big();,,,,,,,
report_progress_step(),,,,,,,
report_progress_step(),,,,,,,
Location,Control Program,Name,Type,Object ID,Device ID,Object Name,Path
/Cornell University/Biotech Server/Biotech/Biotech Ground Floor/Ground Floor Fume Hood Lab Spaces/Lab G49/G49A,,,,,,,
,Lab G49,,,,,,
,,Setpoint,BSPTCS,,DEV:1018362,,#lab_g49/setpt
,,Setpoint / Cooling Occupied Setpoint,BAV,AV:1,DEV:1018362,occupied_cool_setpoint_1,#lab_g49/setpt/occupied_cool_setpoint
,,Setpoint / Heating Occupied Setpoint,BAV,AV:2,DEV:1018362,occupied_heat_setpoint_1,#lab_g49/setpt/occupied_heat_setpoint
,,Setpoint / Cooling Unoccupied Setpoint,BAV,AV:3,DEV:1018362,unoccupied_cool_setpoint_1,#lab_g49/setpt/unoccupied_cool_setpoint
,,Setpoint / Heating Unoccupied Setpoint,BAV,AV:4,DEV:1018362,unoccupied_heat_setpoint_1,#lab_g49/setpt/unoccupied_heat_setpoint
,,Setpoint / Cooling Setpoint Adjust,BAV,AV:5,DEV:1018362,cool_setpoint_adjust_1,#lab_g49/setpt/cool_setpoint_adjust
,,Setpoint / Heating Setpoint Adjust,BAV,AV:6,DEV:1018362,heat_setpoint_adjust_1,#lab_g49/setpt/heat_setpoint_adjust
,,Setpoint / Effective Cooling Setpoint,BAV,AV:7,DEV:1018362,effective_cool_setpoint_1,#lab_g49/setpt/effective_cool_setpoint
,,Setpoint / Effective Heating Setpoint,BAV,AV:8,DEV:1018362,effective_heat_setpoint_1,#lab_g49/setpt/effective_heat_setpoint
,,Fume Hood Sash Position Input,BAI,AI:3,DEV:1018362,fh_sash_pos_1,#lab_g49/fh_sash_pos
,,General Exhaust Air Valve Flow Feedback,BAI,AI:6,DEV:1018362,gex_flow_fbk_1,#lab_g49/gex_flow_fbk
,,HEV Alarm,BAI,AI:7,DEV:1018362,hev_alarm_1,#lab_g49/hev_alarm
,,Hood Exhaust Air Valve Flow Feedback,BAI,AI:2,DEV:1018362,hev_flow_fbk_1,#lab_g49/hev_flow_fbk
,,Supply Air Temp,BAI,AI:1,DEV:1018362,sat_1,#lab_g49/sat
,,Supply Air Valve Flow Feedback,BAI,AI:4,DEV:1018362,sav_flow_fbk_1,#lab_g49/sav_flow_fbk
,,Zone Temp,ASVI,AI:5,DEV:1018362,zone_temp_1,#lab_g49/zone_temp
,,GEX Alarm,BBI,BI:5,DEV:1018362,gex_alarm_1,#lab_g49/gex_alarm
,,Occupancy Sensor,BBI,BI:3,DEV:1018362,occ1_1,#lab_g49/occ1
,,SAV DP Alarm,BBI,BI:4,DEV:1018362,sav_dp_alarm_1,#lab_g49/sav_dp_alarm
,,General Exhaust Air Valve Flow Setpoint,BAO,AO:2,DEV:1018362,gex_flowsp_1,#lab_g49/gex_flowsp
,,Reheat Valve,BAO,AO:1,DEV:1018362,hwv_1,#lab_g49/hwv
