,building,Floor,Lab,hood,TimeOpened,name,lab_name,hood_name,lab_hood_name
0,biotech,G,G54,1,154,Biotech Floor G Lab G54 Hood 1,Lab G54,Hood 1,Lab G54 Hood 1
1,biotech,1,141,1,127,Biotech Floor 1 Lab 141 Hood 1,Lab 141,Hood 1,Lab 141 Hood 1
2,biotech,1,143,1,101,Biotech Floor 1 Lab 143 Hood 1,Lab 143,Hood 1,Lab 143 Hood 1
3,biotech,1,147B,1,79,Biotech Floor 1 Lab 147B Hood 1,Lab 147B,Hood 1,Lab 147B Hood 1
4,biotech,1,153,1,138,Biotech Floor 1 Lab 153 Hood 1,Lab 153,Hood 1,Lab 153 Hood 1
5,biotech,1,153B,1,78,Biotech Floor 1 Lab 153B Hood 1,Lab 153B,Hood 1,Lab 153B Hood 1
6,biotech,1,155,1,103,Biotech Floor 1 Lab 155 Hood 1,Lab 155,Hood 1,Lab 155 Hood 1
7,biotech,1,160,1,101,Biotech Floor 1 Lab 160 Hood 1,Lab 160,Hood 1,Lab 160 Hood 1
8,biotech,2,217B,1,159,Biotech Floor 2 Lab 217B Hood 1,Lab 217B,Hood 1,Lab 217B Hood 1
9,biotech,2,221,1,18,Biotech Floor 2 Lab 221 Hood 1,Lab 221,Hood 1,Lab 221 Hood 1
10,biotech,2,221B,1,168,Biotech Floor 2 Lab 221B Hood 1,Lab 221B,Hood 1,Lab 221B Hood 1
11,biotech,2,227,1,116,Biotech Floor 2 Lab 227 Hood 1,Lab 227,Hood 1,Lab 227 Hood 1
12,biotech,2,227B,1,18,Biotech Floor 2 Lab 227B Hood 1,Lab 227B,Hood 1,Lab 227B Hood 1
13,biotech,2,233,1,8,Biotech Floor 2 Lab 233 Hood 1,Lab 233,Hood 1,Lab 233 Hood 1
14,biotech,2,233B,1,65,Biotech Floor 2 Lab 233B Hood 1,Lab 233B,Hood 1,Lab 233B Hood 1
15,biotech,2,241,1,7,Biotech Floor 2 Lab 241 Hood 1,Lab 241,Hood 1,Lab 241 Hood 1
16,biotech,2,241B,1,1,Biotech Floor 2 Lab 241B Hood 1,Lab 241B,Hood 1,Lab 241B Hood 1
17,biotech,2,253,1,2,Biotech Floor 2 Lab 253 Hood 1,Lab 253,Hood 1,Lab 253 Hood 1
18,biotech,2,253B,1,193,Biotech Floor 2 Lab 253B Hood 1,Lab 253B,Hood 1,Lab 253B Hood 1
19,biotech,2,257,1,19,Biotech Floor 2 Lab 257 Hood 1,Lab 257,Hood 1,Lab 257 Hood 1
20,biotech,2,257B,1,181,Biotech Floor 2 Lab 257B Hood 1,Lab 257B,Hood 1,Lab 257B Hood 1
21,biotech,2,260,1,49,Biotech Floor 2 Lab 260 Hood 1,Lab 260,Hood 1,Lab 260 Hood 1
22,biotech,2,260B,1,76,Biotech Floor 2 Lab 260B Hood 1,Lab 260B,Hood 1,Lab 260B Hood 1
23,biotech,2,267,1,181,Biotech Floor 2 Lab 267 Hood 1,Lab 267,Hood 1,Lab 267 Hood 1
24,biotech,2,267B,1,28,Biotech Floor 2 Lab 267B Hood 1,Lab 267B,Hood 1,Lab 267B Hood 1
