,Unnamed: 0,Lab,Floor,Server,Hood,Sash,Occupancy,Internal Temp,External Temp,FloorNum,Energy Occupied,Energy Unoccupied,Sash Open Time Occupied,Sash Open Time Unoccupied
0,0,g54,ground,biotech_main,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/hoodvalve_flow,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/hood_sash,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/occ,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,ground,Biotech.Floor_ground.Lab_g54.Hood_1.energy.occ,Biotech.Floor_ground.Lab_g54.Hood_1.energy.unocc,Biotech.Floor_ground.Lab_g54.Hood_1.sashOpenTime.occ,Biotech.Floor_ground.Lab_g54.Hood_1.sashOpenTime.unocc
1,1,141,1st,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,1,Biotech.Floor_1.Lab_141.Hood_1.energy.occ,Biotech.Floor_1.Lab_141.Hood_1.energy.unocc,Biotech.Floor_1.Lab_141.Hood_1.sashOpenTime.occ,Biotech.Floor_1.Lab_141.Hood_1.sashOpenTime.unocc
2,2,143,1st,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,1,Biotech.Floor_1.Lab_143.Hood_1.energy.occ,Biotech.Floor_1.Lab_143.Hood_1.energy.unocc,Biotech.Floor_1.Lab_143.Hood_1.sashOpenTime.occ,Biotech.Floor_1.Lab_143.Hood_1.sashOpenTime.unocc
3,3,147b,1st,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,1,Biotech.Floor_1.Lab_147b.Hood_1.energy.occ,Biotech.Floor_1.Lab_147b.Hood_1.energy.unocc,Biotech.Floor_1.Lab_147b.Hood_1.sashOpenTime.occ,Biotech.Floor_1.Lab_147b.Hood_1.sashOpenTime.unocc
4,4,153,1st,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,1,Biotech.Floor_1.Lab_153.Hood_1.energy.occ,Biotech.Floor_1.Lab_153.Hood_1.energy.unocc,Biotech.Floor_1.Lab_153.Hood_1.sashOpenTime.occ,Biotech.Floor_1.Lab_153.Hood_1.sashOpenTime.unocc
5,5,153b,1st,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,1,Biotech.Floor_1.Lab_153b.Hood_1.energy.occ,Biotech.Floor_1.Lab_153b.Hood_1.energy.unocc,Biotech.Floor_1.Lab_153b.Hood_1.sashOpenTime.occ,Biotech.Floor_1.Lab_153b.Hood_1.sashOpenTime.unocc
6,6,155,1st,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,1,Biotech.Floor_1.Lab_155.Hood_1.energy.occ,Biotech.Floor_1.Lab_155.Hood_1.energy.unocc,Biotech.Floor_1.Lab_155.Hood_1.sashOpenTime.occ,Biotech.Floor_1.Lab_155.Hood_1.sashOpenTime.unocc
7,7,160,1st,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,1,Biotech.Floor_1.Lab_160.Hood_1.energy.occ,Biotech.Floor_1.Lab_160.Hood_1.energy.unocc,Biotech.Floor_1.Lab_160.Hood_1.sashOpenTime.occ,Biotech.Floor_1.Lab_160.Hood_1.sashOpenTime.unocc
8,8,217b,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_217b.Hood_1.energy.occ,Biotech.Floor_2.Lab_217b.Hood_1.energy.unocc,Biotech.Floor_2.Lab_217b.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_217b.Hood_1.sashOpenTime.unocc
9,9,221,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_221.Hood_1.energy.occ,Biotech.Floor_2.Lab_221.Hood_1.energy.unocc,Biotech.Floor_2.Lab_221.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_221.Hood_1.sashOpenTime.unocc
