C1,Room,Pointname,Acronym,Point
Point List,,,,
Location:,Cornell University / Biotech Server / Biotech,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Biotech Server/Biotech/Biotech Building Performance/Airflow Performance,,,,
,"Biotech ACS-1, 2, and 3 Performance",,,
,,AHU Exhaust Airflow,BAV,#biotech_acs-1_2_and_3_performance/ahu_exhaust_airflow_av
,,AHU Outside Airflow,BAV,#biotech_acs-1_2_and_3_performance/ahu_outside_airflow_av
,,AHU Supply Airflow,BAV,#biotech_acs-1_2_and_3_performance/ahu_supply_airflow_av
,,All Lab Setback Percent,BAV,#biotech_acs-1_2_and_3_performance/all_lab_setback_percent_av
,,All Non-Lab Setback Percent,BAV,#biotech_acs-1_2_and_3_performance/all_non-lab_setback_percent_av
,,Exhaust Airflow Deviation,BAV,#biotech_acs-1_2_and_3_performance/exhaust_airflow_deviation_av
,,Exhaust Airflow Deviation Percent,BAV,#biotech_acs-1_2_and_3_performance/exhaust_airflow_deviation_percent_av
,,Exhaust Airflow Occ Percent,BAV,#biotech_acs-1_2_and_3_performance/exhaust_airflow_occ_percent_av
,,Exhaust Airflow Percent,BAV,#biotech_acs-1_2_and_3_performance/exhaust_airflow_percent_av
,,Exhaust Airflow Unocc Percent,BAV,#biotech_acs-1_2_and_3_performance/exhaust_airflow_unocc_percent_av
,,Exhaust Deviation,BAV,#biotech_acs-1_2_and_3_performance/exhaust_dev
,,Hood Count,BAV,#biotech_acs-1_2_and_3_performance/hood_count_av
,,Hoods Open,BAV,#biotech_acs-1_2_and_3_performance/hoods_open_av
,,Hoods Open Percent,BAV,#biotech_acs-1_2_and_3_performance/hoods_open_percent_av
,,Lab_Setback,BAV,#biotech_acs-1_2_and_3_performance/lab_setback_av
,,Lab Occupied Actual,BAV,#biotech_acs-1_2_and_3_performance/lab_occupied_actual_av
,,Lab Schedule,BAV,#biotech_acs-1_2_and_3_performance/lab_schedule_active_av
,,Lab Schedule Count,BAV,#biotech_acs-1_2_and_3_performance/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech_acs-1_2_and_3_performance/lab_setback_count_av
,,Non-Lab Occupied Actual,BAV,#biotech_acs-1_2_and_3_performance/non-lab_occupied_actual_av
,,Non-Lab Schedule,BAV,#biotech_acs-1_2_and_3_performance/non-lab_schedule_active_av
,,Non-Lab Schedule Count,BAV,#biotech_acs-1_2_and_3_performance/non-lab_schedule_count_av
,,Non-Lab Setback,BAV,#biotech_acs-1_2_and_3_performance/non-lab_setback_av
,,Non-Lab Setback Count,BAV,#biotech_acs-1_2_and_3_performance/non-lab_setback_count_av
,,Number of Lab Occupied Actual,BAV,#biotech_acs-1_2_and_3_performance/lab_schedule_av
,,Number of Non-Lab Occupied Actual,BAV,#biotech_acs-1_2_and_3_performance/non-lab_schedule_av
,,Occ Max EAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_performance/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_performance/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_performance/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_performance/occ_min_sflow_stpt_av
,,Supply Airflow Deviation,BAV,#biotech_acs-1_2_and_3_performance/supply_airflow_deviation_av
,,Supply Airflow Deviation Percent,BAV,#biotech_acs-1_2_and_3_performance/supply_airflow_deviation_percent_av
,,Supply Airflow Occ Percent,BAV,#biotech_acs-1_2_and_3_performance/supply_airflow_occ_percent_av
,,Supply Airflow Percent,BAV,#biotech_acs-1_2_and_3_performance/supply_airflow_percent_av
,,Supply Airflow Unocc Percent,BAV,#biotech_acs-1_2_and_3_performance/supply_airflow_unocc_percent_av
,,Supply Deviation,BAV,#biotech_acs-1_2_and_3_performance/supply_dev
,,Total Zone Exhaust Airflow,BAV,#biotech_acs-1_2_and_3_performance/exhaust_airflow
,,Total Zone Supply Airflow,BAV,#biotech_acs-1_2_and_3_performance/supply_airflow
,,Unocc Min EAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_performance/unocc_min_eflow_stpt_av
,,Unocc Min Zone Exhaust Airflow,BAV,#biotech_acs-1_2_and_3_performance/unocc_min_zn_eflow_av
,,Occ Status,BBV,#biotech_acs-1_2_and_3_performance/occ_status_bv
,,schedule,BBV,#biotech_acs-1_2_and_3_performance/schedule
,,Exhaust Airflow Deviation Alarm,BALM,#biotech_acs-1_2_and_3_performance/exhaust_airflow_deviation_alarm
,,Supply Airflow Deviation Alarm,BALM,#biotech_acs-1_2_and_3_performance/supply_airflow_deviation_alarm
,,AHU Exhaust Airflow,POLLTOT,#biotech_acs-1_2_and_3_performance/in_ahu_exhaust_airflow_1
,,AHU Outside Airflow,POLLTOT,#biotech_acs-1_2_and_3_performance/in_ahu_outside_airflow_1
,,AHU Supply Airflow,POLLTOT,#biotech_acs-1_2_and_3_performance/in_ahu_supply_airflow_1
,,Hood Count,POLLTOT,#biotech_acs-1_2_and_3_performance/in_hood_count_1
,,Hoods Open,POLLTOT,#biotech_acs-1_2_and_3_performance/in_hoods_open_1
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_performance/in_lab_schedule_active_1
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_performance/in_lab_schedule_count_1
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_performance/in_lab_setback_active_1
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_performance/in_lab_setback_count_1
,,Max Zone Exhaust Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_max_zn_eflow_1
,,Max Zone Supply Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_max_zn_sflow_1
,,Min Zone Exhaust Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_min_zn_eflow_1
,,Min Zone Supply Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_min_zn_sflow_1
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_performance/in_non-lab_schedule_active_1
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_performance/in_non-lab_schedule_count_1
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_performance/in_non-lab_setback_active_1
,,Non-Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_performance/in_non-lab_setback_count_1
,,Total Zone Exhaust Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_eflow_tot_1
,,Total Zone Supply Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_sflow_tot_1
,,Unocc Min Zone Exhaust Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_unocc_min_zn_eflow_1
,,Unocc Min Zone Supply Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_unocc_min_zn_sflow_1
,"Biotech ACS-1, 2, and 3 Rollup",,,
,,AHU Exhaust Airflow,BAV,#biotech_acs-1_2_and_3_rollup/ahu_exhaust_airflow_av
,,AHU Outside Airflow,BAV,#biotech_acs-1_2_and_3_rollup/ahu_outside_airflow_av
,,AHU Supply Airflow,BAV,#biotech_acs-1_2_and_3_rollup/ahu_supply_airflow_av
,,Hood Count,BAV,#biotech_acs-1_2_and_3_rollup/hood_count_av
,,Hoods Open,BAV,#biotech_acs-1_2_and_3_rollup/hoods_open_av
,,Lab_Setback,BAV,#biotech_acs-1_2_and_3_rollup/lab_setback_av
,,LabSchedule,BAV,#biotech_acs-1_2_and_3_rollup/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech_acs-1_2_and_3_rollup/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech_acs-1_2_and_3_rollup/lab_setback_count_av
